gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_012566	Control	Vibrio	OK	42.963	104.63	1.28412	2.39728	5e-05	0.0214919	yes
XLOC_012742	Control	Vibrio	OK	149.631	37.1103	-2.01152	-6.19023	1e-04	0.0330054	yes
XLOC_014180	Control	Vibrio	OK	403.611	84.6133	-2.25401	-13.578	5e-05	0.0214919	yes
XLOC_014342	Control	Vibrio	OK	113.708	380.831	1.74382	5.36955	5e-05	0.0214919	yes
XLOC_014346	Control	Vibrio	OK	61.1833	217.174	1.82764	4.0161	5e-05	0.0214919	yes
XLOC_014629	Control	Vibrio	OK	30.1489	5.93996	-2.34358	-3.0339	5e-05	0.0214919	yes
XLOC_014972	Control	Vibrio	OK	1128.65	153.991	-2.87368	-34.7492	5e-05	0.0214919	yes
XLOC_015139	Control	Vibrio	OK	765.552	56.1122	-3.77011	-26.1567	5e-05	0.0214919	yes
XLOC_015655	Control	Vibrio	OK	824.426	153.952	-2.42091	-24.9614	2e-04	0.0473923	yes
XLOC_015886	Control	Vibrio	OK	94.1445	379.296	2.01038	6.46795	5e-05	0.0214919	yes
XLOC_016058	Control	Vibrio	OK	614.958	121.581	-2.33857	-19.1079	5e-05	0.0214919	yes
XLOC_016125	Control	Vibrio	OK	281.328	733.553	1.38265	7.21236	1e-04	0.0330054	yes
XLOC_016341	Control	Vibrio	OK	83.8166	7.17964	-3.54525	-5.81737	5e-05	0.0214919	yes
XLOC_016738	Control	Vibrio	OK	6789.41	13769.5	1.02012	22.1893	1e-04	0.0330054	yes
XLOC_016944	Control	Vibrio	OK	27.7618	142.242	2.35717	4.29331	5e-05	0.0214919	yes
XLOC_016988	Control	Vibrio	OK	685.298	157.86	-2.11809	-18.4482	2e-04	0.0473923	yes
XLOC_017454	Control	Vibrio	OK	256.237	49.9674	-2.35842	-10.5672	1e-04	0.0330054	yes
XLOC_017622	Control	Vibrio	OK	3160.58	7072.89	1.16211	19.3726	0.00015	0.0401804	yes
XLOC_018032	Control	Vibrio	OK	6.72869	25.5655	1.9258	2.63889	1e-04	0.0330054	yes
