gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_017872	Control	Vibrio	OK	50.7194	92.7857	0.871365	2.18368	0.00045	0.0420395	yes
XLOC_017899	Control	Vibrio	OK	26.4452	62.7299	1.24615	2.9973	5e-05	0.00797753	yes
XLOC_018044	Control	Vibrio	OK	10.833	46.8228	2.11178	3.23843	5e-05	0.00797753	yes
XLOC_018257	Control	Vibrio	OK	25.4621	2.62788	-3.27638	-4.02607	1e-04	0.0144898	yes
XLOC_018460	Control	Vibrio	OK	39.1116	69.9467	0.838658	2.05309	0.00045	0.0420395	yes
XLOC_018630	Control	Vibrio	OK	93.6362	35.7451	-1.38932	-2.80235	4e-04	0.0411594	yes
XLOC_018842	Control	Vibrio	OK	190.019	52.8453	-1.84629	-7.3511	0.00045	0.0420395	yes
XLOC_018910	Control	Vibrio	OK	117.441	281.613	1.26178	3.56998	5e-05	0.00797753	yes
XLOC_019083	Control	Vibrio	OK	421.707	687.785	0.705717	2.11587	3e-04	0.0325191	yes
XLOC_019086	Control	Vibrio	OK	102.634	272.671	1.40965	4.03701	5e-05	0.00797753	yes
XLOC_019121	Control	Vibrio	OK	40.3821	70.1466	0.796657	1.9967	2e-04	0.0240678	yes
XLOC_019207	Control	Vibrio	OK	56.6818	12.9966	-2.12475	-3.70111	5e-05	0.00797753	yes
XLOC_019235	Control	Vibrio	OK	94.565	175.832	0.894818	2.55766	5e-05	0.00797753	yes
XLOC_019515	Control	Vibrio	OK	11.6151	39.7888	1.77636	2.88808	5e-05	0.00797753	yes
XLOC_019562	Control	Vibrio	OK	29.9816	67.6348	1.17369	2.62541	5e-05	0.00797753	yes
XLOC_019587	Control	Vibrio	OK	106.619	186.785	0.808908	2.3479	3e-04	0.0325191	yes
XLOC_019638	Control	Vibrio	OK	47.7123	129.12	1.43628	3.33415	0.00045	0.0420395	yes
XLOC_019772	Control	Vibrio	OK	46.7148	110.895	1.24724	3.28297	5e-05	0.00797753	yes
XLOC_019853	Control	Vibrio	OK	2.12639	9.95356	2.2268	2.54284	0.00025	0.028629	yes
XLOC_019990	Control	Vibrio	OK	81.2471	189.471	1.22159	3.39324	5e-05	0.00797753	yes
XLOC_019994	Control	Vibrio	OK	40.942	87.8895	1.10211	2.73771	5e-05	0.00797753	yes
XLOC_020006	Control	Vibrio	OK	83.1013	148.987	0.842248	2.34669	5e-05	0.00797753	yes
XLOC_020013	Control	Vibrio	OK	165.994	283.904	0.774272	2.32129	5e-05	0.00797753	yes
XLOC_020070	Control	Vibrio	OK	45.1837	111.98	1.30937	3.13182	5e-05	0.00797753	yes
XLOC_020089	Control	Vibrio	OK	689.948	417.718	-0.723956	-3.15653	5e-04	0.0446541	yes
XLOC_020119	Control	Vibrio	OK	76.6475	125.84	0.715282	1.98246	0.00035	0.0365441	yes
XLOC_020207	Control	Vibrio	OK	19.9032	4.36888	-2.18766	-2.94559	5e-05	0.00797753	yes
