gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_000689	Control	Vibrio	OK	912.475	1747.19	0.937182	2.38977	5e-05	0.0175264	yes
XLOC_001460	Control	Vibrio	OK	61.284	116.071	0.92143	2.09776	2e-04	0.0437129	yes
XLOC_001569	Control	Vibrio	OK	11.6935	44.3576	1.92347	2.9881	5e-05	0.0175264	yes
XLOC_001634	Control	Vibrio	OK	21.5697	5.95686	-1.85638	-2.38139	2e-04	0.0437129	yes
XLOC_001775	Control	Vibrio	OK	30.5754	5.45898	-2.48567	-3.39671	5e-05	0.0175264	yes
XLOC_001903	Control	Vibrio	OK	92.0481	225.123	1.29025	3.21493	5e-05	0.0175264	yes
XLOC_001921	Control	Vibrio	OK	487.779	987.394	1.0174	4.25848	1e-04	0.0285815	yes
XLOC_002062	Control	Vibrio	OK	231.214	37.9023	-2.60887	-8.82548	5e-05	0.0175264	yes
XLOC_002136	Control	Vibrio	OK	88.6843	212.126	1.25817	3.04815	5e-05	0.0175264	yes
XLOC_002364	Control	Vibrio	OK	94.8879	19.907	-2.25295	-5.27026	1e-04	0.0285815	yes
XLOC_003155	Control	Vibrio	OK	142.687	286.07	1.00351	2.4239	0.00015	0.0357269	yes
XLOC_003206	Control	Vibrio	OK	137.428	314.206	1.19304	3.0267	5e-05	0.0175264	yes
XLOC_004360	Control	Vibrio	OK	111.374	204.872	0.879307	2.06667	0.00015	0.0357269	yes
XLOC_004456	Control	Vibrio	OK	47.2848	148.232	1.64841	3.6224	5e-05	0.0175264	yes
XLOC_004530	Control	Vibrio	OK	38.7548	97.9294	1.33737	2.73103	5e-05	0.0175264	yes
XLOC_004582	Control	Vibrio	OK	46.0334	93.9768	1.02962	2.26429	5e-05	0.0175264	yes
XLOC_004862	Control	Vibrio	OK	13.4697	31.6202	1.23113	2.27033	5e-05	0.0175264	yes
XLOC_005441	Control	Vibrio	OK	122.305	310.372	1.34352	3.55536	5e-05	0.0175264	yes
XLOC_005472	Control	Vibrio	OK	3734.2	23215.6	2.63622	202.799	5e-05	0.0175264	yes
XLOC_005481	Control	Vibrio	OK	1311.32	2883.91	1.137	2.45741	5e-05	0.0175264	yes
XLOC_005665	Control	Vibrio	OK	39.1938	11.1137	-1.81828	-2.63817	0.00015	0.0357269	yes
XLOC_006122	Control	Vibrio	OK	86.5606	162.395	0.907729	2.1807	0.00015	0.0357269	yes
XLOC_006426	Control	Vibrio	OK	39.0486	136.135	1.80169	3.61631	5e-05	0.0175264	yes
XLOC_006558	Control	Vibrio	OK	108.181	29.5802	-1.87075	-4.00439	2e-04	0.0437129	yes
XLOC_006648	Control	Vibrio	OK	6.00987	25.6956	2.09611	2.69504	0.00015	0.0357269	yes
XLOC_006682	Control	Vibrio	OK	15113.3	3341.59	-2.17721	-144.492	0.00015	0.0357269	yes
XLOC_006694	Control	Vibrio	OK	403.74	86.575	-2.2214	-10.5049	5e-05	0.0175264	yes
XLOC_007015	Control	Vibrio	OK	75.3018	14.0597	-2.42112	-4.80685	1e-04	0.0285815	yes
XLOC_007026	Control	Vibrio	OK	3313.89	10190.7	1.62066	48.1678	5e-05	0.0175264	yes
XLOC_007088	Control	Vibrio	OK	94.3547	208.632	1.14479	2.65843	5e-05	0.0175264	yes
XLOC_007602	Control	Vibrio	OK	27.6585	72.4453	1.38917	2.80528	5e-05	0.0175264	yes
XLOC_007789	Control	Vibrio	OK	28.5116	79.58	1.48086	2.73664	1e-04	0.0285815	yes
XLOC_007849	Control	Vibrio	OK	12655.5	28407.1	1.16648	33.179	5e-05	0.0175264	yes
XLOC_007935	Control	Vibrio	OK	100.533	22.8303	-2.13865	-5.18637	1e-04	0.0285815	yes
XLOC_007939	Control	Vibrio	OK	23.7314	5.81846	-2.02809	-2.68065	1e-04	0.0285815	yes
XLOC_007995	Control	Vibrio	OK	8.23401	47.762	2.5362	3.69063	5e-05	0.0175264	yes
XLOC_008386	Control	Vibrio	OK	230.907	50.2078	-2.20133	-9.01655	0.00015	0.0357269	yes
XLOC_008450	Control	Vibrio	OK	42.7687	94.7852	1.14811	2.45844	1e-04	0.0285815	yes
XLOC_008662	Control	Vibrio	OK	33.2397	106.9	1.68529	3.28359	5e-05	0.0175264	yes
XLOC_009142	Control	Vibrio	OK	1289.31	2657.59	1.04352	9.0546	1e-04	0.0285815	yes
XLOC_009304	Control	Vibrio	OK	70.2764	171.835	1.28991	2.93094	5e-05	0.0175264	yes
XLOC_009451	Control	Vibrio	OK	51.3225	144.546	1.49387	3.30879	1e-04	0.0285815	yes
XLOC_009478	Control	Vibrio	OK	296.249	605.989	1.03248	3.29627	5e-05	0.0175264	yes
XLOC_009801	Control	Vibrio	OK	29.9848	121.491	2.01854	3.85574	5e-05	0.0175264	yes
XLOC_009892	Control	Vibrio	OK	140.956	373.303	1.4051	3.40463	5e-05	0.0175264	yes
XLOC_009919	Control	Vibrio	OK	1522.16	121.304	-3.64942	-42.2091	5e-05	0.0175264	yes
XLOC_010120	Control	Vibrio	OK	129.399	234.74	0.859242	2.13019	2e-04	0.0437129	yes
XLOC_010213	Control	Vibrio	OK	49.2751	267.728	2.44184	10.9029	2e-04	0.0437129	yes
XLOC_010322	Control	Vibrio	OK	73.3155	194.074	1.40442	3.33958	5e-05	0.0175264	yes
XLOC_010743	Control	Vibrio	OK	127.486	30.5491	-2.06114	-5.85782	2e-04	0.0437129	yes
XLOC_011019	Control	Vibrio	OK	40.733	99.6938	1.2913	2.62382	1e-04	0.0285815	yes
XLOC_011104	Control	Vibrio	OK	82.9544	21.1281	-1.97316	-3.44654	0.00015	0.0357269	yes
XLOC_011242	Control	Vibrio	OK	38.3797	103.702	1.43402	2.86005	5e-05	0.0175264	yes
XLOC_011523	Control	Vibrio	OK	636.475	93.6811	-2.76427	-22.5979	5e-05	0.0175264	yes
XLOC_011747	Control	Vibrio	OK	81.8321	334.78	2.03248	4.87484	5e-05	0.0175264	yes
XLOC_011827	Control	Vibrio	OK	27.8651	91.0521	1.70823	3.04062	5e-05	0.0175264	yes
XLOC_011830	Control	Vibrio	OK	27.1336	149.723	2.46415	5.69831	1e-04	0.0285815	yes
XLOC_012147	Control	Vibrio	OK	434.201	82.3064	-2.39929	-12.1424	5e-05	0.0175264	yes
XLOC_012230	Control	Vibrio	OK	86.6793	308.411	1.8311	4.12876	5e-05	0.0175264	yes
XLOC_012455	Control	Vibrio	OK	215.723	52.2604	-2.04539	-8.1877	0.00015	0.0357269	yes
