column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15453763	11	35	517065946	33.46	32	35	35	3	28	35	1918842	7409073	5019448	1106400	0	15453763
2	15453763	11	35	520432816	33.68	32	35	35	3	28	35	1642104	4182086	3433277	6196296	0	15453763
3	15453763	11	35	521530299	33.75	32	35	35	3	28	35	2387404	6068768	3157363	3840228	0	15453763
4	15453763	11	38	574483863	37.17	36	38	38	2	33	38	3363187	5172299	3861897	3056380	0	15453763
5	15453763	11	38	575714358	37.25	38	38	38	0	38	38	4042619	3685675	4047344	3678125	0	15453763
6	15397577	7	38	572121330	37.16	37	38	38	1	36	38	4513457	3669984	3623116	3591020	0	15453763
7	15348890	7	38	570107089	37.14	37	38	38	1	36	38	3967288	3011602	2973738	5396262	0	15453763
8	15311896	6	38	568649398	37.14	37	38	38	1	36	38	3378177	3950093	3091435	4892191	0	15453763
9	15263837	6	40	593963673	38.91	39	40	40	1	38	40	2973224	4152193	3156186	4982234	0	15453763
10	15218754	6	40	592318323	38.92	39	40	40	1	38	40	4830037	3288245	3349418	3751054	0	15453763
11	15172267	6	40	590527193	38.92	39	40	40	1	38	40	3978937	3993392	3857997	3341941	0	15453763
12	15122320	6	40	588419025	38.91	39	40	40	1	38	40	3337257	4297907	3640546	3846610	0	15453763
13	15074996	6	40	585091296	38.81	39	40	40	1	38	40	3676559	3948716	3638093	3811628	0	15453763
14	15031609	6	42	604822782	40.24	40	42	42	2	37	42	3724923	3837411	3491522	3977753	0	15453763
15	14983504	6	42	602463103	40.21	40	42	42	2	37	42	3594977	4014429	3536247	3837851	0	15453763
16	14933917	6	42	599748660	40.16	40	42	42	2	37	42	3633728	4026456	3690646	3583087	0	15453763
17	14892126	6	42	598245216	40.17	40	42	42	2	37	42	3736640	3867229	3573381	3714876	0	15453763
18	14841704	6	42	596310401	40.18	40	42	42	2	37	42	3658891	3985452	3522061	3675300	0	15453763
19	14795078	6	42	595129108	40.22	40	42	42	2	37	42	3642123	3989711	3667007	3496237	0	15453763
20	14753588	6	42	593342718	40.22	40	42	42	2	37	42	3660253	3810169	3574960	3708206	0	15453763
21	14703724	6	42	590881635	40.19	40	42	42	2	37	42	3549831	3978278	3495987	3679628	0	15453763
22	14658801	6	42	587766476	40.10	40	41	42	2	37	42	3642085	3933141	3653306	3430269	0	15453763
23	14615473	6	42	586191452	40.11	40	41	42	2	37	42	3704377	3764132	3519285	3627679	0	15453763
24	14571342	6	42	584963374	40.14	40	42	42	2	37	42	3585425	3943294	3458918	3583705	0	15453763
25	14526507	6	42	582986099	40.13	40	42	42	2	37	42	3599077	3912968	3622681	3391781	0	15453763
26	14485232	6	42	580757914	40.09	40	41	42	2	37	42	3634578	3790924	3505591	3554139	0	15453763
27	14439091	6	42	578395600	40.06	39	41	42	3	35	42	3504738	3917619	3425763	3590971	0	15453763
28	14392369	6	42	576326819	40.04	39	41	42	3	35	42	3516398	3897428	3577767	3400776	0	15453763
29	14350517	6	42	574095326	40.01	39	41	42	3	35	42	3582372	3746977	3477950	3543218	0	15453763
30	14303630	6	42	571932095	39.99	39	41	42	3	35	42	3470458	3903720	3416852	3512600	0	15453763
31	14256794	6	42	569142289	39.92	39	41	42	3	35	42	3505392	3877129	3537924	3336349	0	15453763
32	14213245	6	42	566945039	39.89	39	41	42	3	35	42	3570889	3690517	3427715	3524124	0	15453763
33	14166426	6	42	564596859	39.85	39	41	42	3	35	42	3439909	3839472	3359275	3527770	0	15453763
34	14124433	6	42	562339199	39.81	39	41	42	3	35	42	3499032	3821080	3513763	3290558	0	15453763
35	14081792	6	42	559753487	39.75	39	41	42	3	35	42	3534739	3655303	3439162	3452588	0	15453763
36	14037312	6	42	557371362	39.71	39	41	42	3	35	42	3397233	3843115	3370633	3426331	0	15453763
37	13993398	6	42	554979175	39.66	39	41	42	3	35	42	3438109	3846233	3484144	3224912	0	15453763
38	13951556	6	42	552542034	39.60	39	41	42	3	35	42	3483067	3681232	3384738	3402519	0	15453763
39	13908728	6	42	549898222	39.54	39	41	42	3	35	42	3388010	3810594	3310434	3399690	0	15453763
40	13866065	6	42	547069049	39.45	39	41	42	3	35	42	3442298	3774990	3448977	3199800	0	15453763
41	13827156	6	42	544511220	39.38	38	41	42	4	32	42	3470202	3630174	3357482	3369298	0	15453763
42	13784267	6	42	541820221	39.31	38	41	42	4	32	42	3367020	3771459	3302876	3342912	0	15453763
43	13745054	6	42	539569397	39.26	38	41	42	4	32	42	3415557	3735356	3418259	3175882	0	15453763
44	13709821	6	42	536964714	39.17	38	41	42	4	32	42	3433229	3607928	3312316	3356348	0	15453763
45	13689620	6	42	535277164	39.10	38	41	42	4	32	42	3321999	3762246	3279273	3326102	0	15453763
46	13648700	6	42	532701071	39.03	38	41	42	4	32	42	3348224	3744423	3412171	3143882	0	15453763
47	13596712	6	42	529305187	38.93	37	41	42	5	30	42	3390543	3587432	3320117	3298620	0	15453763
48	13534833	6	42	525578476	38.83	37	41	42	5	30	42	3288713	3763683	3210307	3272130	0	15453763
49	13492991	6	42	522443385	38.72	37	40	42	5	30	42	3295662	3697235	3396511	3103583	0	15453763
50	13488707	6	42	520679049	38.60	36	40	42	6	27	42	3374225	3523217	3339528	3251737	0	15453763
51	13488707	6	42	518723390	38.46	36	40	42	6	27	42	3285571	3685892	3280103	3237141	0	15453763
