column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	21628127	11	35	724812276	33.51	32	35	35	3	28	35	1999396	8931774	8124016	2572941	0	21628127
2	21628127	11	35	729166245	33.71	32	35	35	3	28	35	2147322	7066727	5504416	6909662	0	21628127
3	21628127	11	35	730615936	33.78	32	35	35	3	28	35	3319831	8200043	5262628	4845625	0	21628127
4	21628127	11	38	804702674	37.21	38	38	38	0	38	38	4657022	6893146	5940299	4137660	0	21628127
5	21628127	11	38	806192781	37.28	38	38	38	0	38	38	5523592	5205059	6072703	4826773	0	21628127
6	21559060	7	38	801883088	37.19	37	38	38	1	36	38	6137536	5153637	5461464	4806423	0	21628127
7	21490783	6	38	798809744	37.17	37	38	38	1	36	38	5099591	4463056	4314903	7613233	0	21628127
8	21432963	6	38	796621295	37.17	37	38	38	1	36	38	4620858	5565297	4904302	6342506	0	21628127
9	21364336	6	40	832387131	38.96	39	40	40	1	38	40	4217227	5851017	4733701	6562391	0	21628127
10	21303043	6	40	830312999	38.98	39	40	40	1	38	40	6713459	4550407	4810042	5229135	0	21628127
11	21233965	6	40	827708009	38.98	39	40	40	1	38	40	5399205	5671639	5652701	4510420	0	21628127
12	21161443	6	40	824256164	38.95	39	40	40	1	38	40	4576674	5964217	5254516	5366036	0	21628127
13	21094572	6	40	819766954	38.86	39	40	40	1	38	40	5094075	5442199	5167957	5390341	0	21628127
14	21030355	6	42	847496605	40.30	40	42	42	2	37	42	5048435	5431342	5050945	5499633	0	21628127
15	20958264	6	42	844140031	40.28	40	42	42	2	37	42	4950456	5559076	5130352	5318380	0	21628127
16	20873550	6	42	840285614	40.26	40	42	42	2	37	42	4918913	5608569	5289181	5056887	0	21628127
17	20809400	6	42	837535180	40.25	40	42	42	2	37	42	5047073	5520423	5173602	5068302	0	21628127
18	20714867	6	42	833748503	40.25	40	42	42	2	37	42	4950450	5609914	5073871	5080632	0	21628127
19	20648459	6	42	831798200	40.28	40	42	42	2	37	42	4884527	5646138	5213379	4904415	0	21628127
20	20580278	6	42	827465625	40.21	40	42	42	2	37	42	4866274	5480964	5207714	5025326	0	21628127
21	20513144	6	42	824941042	40.22	40	42	42	2	37	42	4813711	5604293	5054928	5040212	0	21628127
22	20447428	6	42	822603958	40.23	40	42	42	2	37	42	4923552	5539516	5191455	4792905	0	21628127
23	20387232	6	42	819822318	40.21	40	42	42	2	37	42	4983068	5386772	5103921	4913471	0	21628127
24	20322942	6	42	816937271	40.20	40	42	42	2	37	42	4865144	5523373	5016858	4917567	0	21628127
25	20260065	6	42	813896683	40.17	40	42	42	2	37	42	4859659	5499978	5156874	4743554	0	21628127
26	20199229	6	42	810831417	40.14	40	42	42	2	37	42	4881760	5411924	5076426	4829119	0	21628127
27	20134760	6	42	807536853	40.11	40	41	42	2	37	42	4777463	5486534	4949232	4921531	0	21628127
28	20068413	6	42	804219554	40.07	39	41	42	3	35	42	4783957	5444618	5094831	4745007	0	21628127
29	20005983	6	42	800905997	40.03	39	41	42	3	35	42	4807004	5352259	5026555	4820165	0	21628127
30	19939838	6	42	797715365	40.01	39	41	42	3	35	42	4724957	5444894	4929073	4840914	0	21628127
31	19873670	6	42	794366876	39.97	39	41	42	3	35	42	4742183	5423041	5034342	4674104	0	21628127
32	19810426	6	42	790908150	39.92	39	41	42	3	35	42	4804399	5273390	4942903	4789734	0	21628127
33	19744496	6	42	787131932	39.87	39	41	42	3	35	42	4686016	5372556	4844823	4841101	0	21628127
34	19684868	6	42	783865072	39.82	39	41	42	3	35	42	4747236	5357755	4989581	4590296	0	21628127
35	19623142	6	42	780186137	39.76	39	41	42	3	35	42	4751366	5215880	4958919	4696977	0	21628127
36	19561290	6	42	773930881	39.56	39	41	42	3	35	42	4662536	5355092	4876516	4667146	0	21628127
37	19497345	6	42	771675378	39.58	39	41	42	3	35	42	4661841	5373605	4954464	4507435	0	21628127
38	19436049	6	42	768632591	39.55	39	41	42	3	35	42	4688685	5244953	4891744	4610667	0	21628127
39	19374634	6	42	764968617	39.48	39	41	42	3	35	42	4606454	5333164	4781528	4653488	0	21628127
40	19313286	6	42	761213514	39.41	38	41	42	4	32	42	4643464	5326274	4885670	4457878	0	21628127
41	19256186	6	42	757787207	39.35	38	41	42	4	32	42	4651985	5196221	4827133	4580847	0	21628127
42	19196088	6	42	752899757	39.22	38	41	42	4	32	42	4588971	5272539	4753027	4581551	0	21628127
43	19139450	6	42	750016521	39.19	38	41	42	4	32	42	4609606	5254508	4836230	4439106	0	21628127
44	19088670	6	42	746509115	39.11	38	41	42	4	32	42	4589374	5157466	4775236	4566594	0	21628127
45	19057019	6	42	743801304	39.03	37	41	42	5	30	42	4507683	5277858	4719214	4552264	0	21628127
46	18999686	6	42	740020267	38.95	37	41	42	5	30	42	4521771	5233348	4853525	4391042	0	21628127
47	18921992	6	42	735093659	38.85	37	41	42	5	30	42	4531533	5112384	4787428	4490647	0	21628127
48	18835850	6	42	729911658	38.75	37	40	42	5	30	42	4467849	5246679	4639196	4482126	0	21628127
49	18779904	6	42	725203976	38.62	36	40	42	6	27	42	4434169	5182356	4828760	4334619	0	21628127
50	18774300	6	42	722891089	38.50	36	40	42	6	27	42	4509397	5025500	4810201	4429202	0	21628127
51	18774300	6	42	720402062	38.37	36	40	42	6	27	42	4462249	5160916	4719889	4431246	0	21628127
