column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15495008	11	35	517916428	33.42	32	34	35	3	28	35	1688657	6233025	5670974	1902352	0	15495008
2	15495008	11	35	521250044	33.64	32	35	35	3	28	35	1824558	4894549	3774663	5001238	0	15495008
3	15495008	11	35	522486282	33.72	32	35	35	3	28	35	2661089	5722498	3689539	3421882	0	15495008
4	15495008	11	38	575580533	37.15	36	38	38	2	33	38	3588973	4832397	4180890	2892748	0	15495008
5	15495008	11	38	576853948	37.23	36	38	38	2	33	38	4240846	3730408	4230807	3292947	0	15495008
6	15446968	7	38	573561883	37.13	36	38	38	2	33	38	4672212	3627335	3866185	3281236	0	15495008
7	15398488	6	38	571412022	37.11	36	38	38	2	33	38	3805720	3337805	3128935	5126028	0	15495008
8	15358273	6	38	569927490	37.11	36	38	38	2	33	38	3470709	4092613	3466323	4328628	0	15495008
9	15308863	6	40	595087725	38.87	39	40	40	1	38	40	3220814	4236174	3376787	4475088	0	15495008
10	15263159	6	40	593482275	38.88	39	40	40	1	38	40	4901191	3310321	3464871	3586776	0	15495008
11	15213846	6	40	591662287	38.89	39	40	40	1	38	40	3966039	4138011	4017456	3092340	0	15495008
12	15161069	6	40	589419762	38.88	39	40	40	1	38	40	3308583	4341083	3768843	3742560	0	15495008
13	15113856	6	40	586001854	38.77	39	40	40	1	38	40	3694454	3991989	3679193	3748220	0	15495008
14	15064948	6	42	605376509	40.18	40	42	42	2	37	42	3623677	3976158	3585548	3879565	0	15495008
15	15014737	6	42	602903114	40.15	39	41	42	3	35	42	3611573	4044813	3635055	3723296	0	15495008
16	14948841	6	42	599450409	40.10	39	41	42	3	35	42	3556746	4050724	3756231	3585140	0	15495008
17	14903707	6	42	597865697	40.12	39	41	42	3	35	42	3680853	3978653	3655584	3588617	0	15495008
18	14820860	6	42	594592076	40.12	39	41	42	3	35	42	3596375	4016912	3604460	3603113	0	15495008
19	14773589	6	42	593315832	40.16	40	41	42	2	37	42	3568410	4023070	3690494	3491615	0	15495008
20	14720686	6	42	591103547	40.15	40	41	42	2	37	42	3564581	3918791	3662175	3575139	0	15495008
21	14672886	6	42	588675978	40.12	40	41	42	2	37	42	3533089	3981574	3589779	3568444	0	15495008
22	14623925	6	42	585355502	40.03	40	41	42	2	37	42	3611875	3941876	3689120	3381054	0	15495008
23	14580762	6	42	583740614	40.03	39	41	42	3	35	42	3643671	3852855	3611627	3472609	0	15495008
24	14532577	6	42	582311114	40.07	39	41	42	3	35	42	3560068	3947945	3550813	3473751	0	15495008
25	14487600	6	42	580265429	40.05	39	41	42	3	35	42	3550044	3933836	3644067	3359653	0	15495008
26	14442318	6	42	577877301	40.01	39	41	42	3	35	42	3561009	3884103	3578335	3418871	0	15495008
27	14396638	6	42	575511474	39.98	39	41	42	3	35	42	3485966	3927149	3506338	3477185	0	15495008
28	14347184	6	42	573232360	39.95	39	41	42	3	35	42	3499765	3897864	3607789	3341766	0	15495008
29	14302449	6	42	570872135	39.91	39	41	42	3	35	42	3507351	3832428	3557932	3404738	0	15495008
30	14254827	6	42	568591227	39.89	39	41	42	3	35	42	3448131	3899464	3489638	3417594	0	15495008
31	14207320	6	42	565652694	39.81	39	41	42	3	35	42	3456005	3885397	3567644	3298274	0	15495008
32	14161501	6	42	563387285	39.78	39	41	42	3	35	42	3501025	3770401	3493922	3396153	0	15495008
33	14115434	6	42	560997224	39.74	39	41	42	3	35	42	3413540	3839072	3439219	3423603	0	15495008
34	14072005	6	42	558582204	39.69	39	41	42	3	35	42	3449019	3825965	3541555	3255466	0	15495008
35	14027907	6	42	555942231	39.63	39	41	42	3	35	42	3462486	3734369	3502062	3328990	0	15495008
36	13982701	6	42	553442250	39.58	39	41	42	3	35	42	3385004	3840650	3439961	3317086	0	15495008
37	13936664	6	42	550827335	39.52	39	41	42	3	35	42	3393426	3837030	3511898	3194310	0	15495008
38	13891373	6	42	548225440	39.47	39	41	42	3	35	42	3412853	3757817	3444212	3276491	0	15495008
39	13847500	6	42	545476824	39.39	38	41	42	4	32	42	3361453	3805736	3377823	3302488	0	15495008
40	13803319	6	42	542477734	39.30	38	41	42	4	32	42	3392083	3783225	3461617	3166394	0	15495008
41	13762416	6	42	539756789	39.22	38	41	42	4	32	42	3397649	3698336	3413869	3252562	0	15495008
42	13716963	6	42	536840640	39.14	38	41	42	4	32	42	3342583	3763986	3370101	3240293	0	15495008
43	13675531	6	42	534393701	39.08	38	41	42	4	32	42	3354515	3738613	3438242	3144161	0	15495008
44	13637001	6	42	531642606	38.99	37	41	42	5	30	42	3346265	3681986	3370908	3237842	0	15495008
45	13613925	6	42	529744671	38.91	37	41	42	5	30	42	3286317	3763006	3342778	3221824	0	15495008
46	13570888	6	42	526982866	38.83	37	41	42	5	30	42	3293185	3733848	3432511	3111344	0	15495008
47	13515349	6	42	523420058	38.73	37	40	42	5	30	42	3302073	3647665	3384246	3181365	0	15495008
48	13453933	6	42	519598053	38.62	36	40	42	6	27	42	3254727	3742440	3286900	3169866	0	15495008
49	13415468	6	42	516525259	38.50	36	40	42	6	27	42	3237980	3694804	3421424	3061260	0	15495008
50	13411399	6	42	514726419	38.38	36	40	42	6	27	42	3285585	3594994	3391819	3139001	0	15495008
51	13411399	6	42	512681542	38.23	36	40	42	6	27	42	3247798	3682530	3349606	3131465	0	15495008
