column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15831348	11	35	529785185	33.46	32	35	35	3	28	35	1617963	6564324	5703525	1945536	0	15831348
2	15831348	11	35	533094843	33.67	32	35	35	3	28	35	1732964	5099840	3981512	5017032	0	15831348
3	15831348	11	35	534148719	33.74	32	35	35	3	28	35	2640268	5923693	3769830	3497557	0	15831348
4	15831348	11	38	588527884	37.17	36	38	38	2	33	38	3577733	5011354	4235608	3006653	0	15831348
5	15831348	11	38	589653438	37.25	36	38	38	2	33	38	4235106	3816809	4346771	3432662	0	15831348
6	15782441	7	38	586540712	37.16	37	38	38	1	36	38	4623597	3790139	3922585	3446120	0	15831348
7	15733118	6	38	584358048	37.14	36	38	38	2	33	38	3764424	3361122	3139941	5467631	0	15831348
8	15691148	6	38	582751259	37.14	37	38	38	1	36	38	3415699	4190619	3541301	4543529	0	15831348
9	15640827	6	40	608812471	38.92	39	40	40	1	38	40	3174778	4352242	3429154	4684653	0	15831348
10	15595268	6	40	607292218	38.94	39	40	40	1	38	40	4962709	3367837	3513016	3751706	0	15831348
11	15544362	6	40	605355093	38.94	39	40	40	1	38	40	3968445	4237721	4131795	3206401	0	15831348
12	15489881	6	40	602724520	38.91	39	40	40	1	38	40	3333242	4424344	3842021	3890274	0	15831348
13	15439946	6	40	599342705	38.82	39	40	40	1	38	40	3751845	4037808	3756689	3893604	0	15831348
14	15387937	6	42	619161595	40.24	40	42	42	2	37	42	3680760	4039586	3675316	3992275	0	15831348
15	15334145	6	42	616667457	40.22	40	42	42	2	37	42	3648069	4118542	3730857	3836677	0	15831348
16	15269199	6	42	613662658	40.19	40	42	42	2	37	42	3591794	4142304	3843698	3691403	0	15831348
17	15221236	6	42	611629119	40.18	40	42	42	2	37	42	3705529	4077963	3762163	3675581	0	15831348
18	15143980	6	42	608537851	40.18	40	42	42	2	37	42	3628995	4121539	3694348	3699098	0	15831348
19	15095009	6	42	607097043	40.22	40	42	42	2	37	42	3591608	4140295	3784826	3578280	0	15831348
20	15035304	6	42	603532768	40.14	40	42	42	2	37	42	3571800	4026608	3782648	3654248	0	15831348
21	14986288	6	42	601686240	40.15	40	41	42	2	37	42	3543665	4099033	3677423	3666167	0	15831348
22	14936652	6	42	599882168	40.16	40	41	42	2	37	42	3620742	4050693	3771841	3493376	0	15831348
23	14892449	6	42	597820187	40.14	40	41	42	2	37	42	3658797	3951653	3712453	3569546	0	15831348
24	14844358	6	42	595648302	40.13	40	42	42	2	37	42	3574122	4047733	3651032	3571471	0	15831348
25	14798114	6	42	593410404	40.10	40	41	42	2	37	42	3571006	4028645	3744470	3453993	0	15831348
26	14752486	6	42	591124917	40.07	39	41	42	3	35	42	3577866	3976714	3686188	3511718	0	15831348
27	14704913	6	42	588671116	40.03	39	41	42	3	35	42	3510166	4026625	3600170	3567952	0	15831348
28	14654922	6	42	586153002	40.00	39	41	42	3	35	42	3520057	3987295	3698951	3448619	0	15831348
29	14608342	6	42	583688536	39.96	39	41	42	3	35	42	3525041	3930817	3655982	3496502	0	15831348
30	14560218	6	42	581358259	39.93	39	41	42	3	35	42	3474105	3991710	3580347	3514056	0	15831348
31	14511663	6	42	578872857	39.89	39	41	42	3	35	42	3478458	3981413	3655930	3395862	0	15831348
32	14464801	6	42	576305450	39.84	39	41	42	3	35	42	3523023	3869409	3595602	3476767	0	15831348
33	14417514	6	42	573544985	39.78	39	41	42	3	35	42	3440482	3928263	3529797	3518972	0	15831348
34	14373439	6	42	571123303	39.73	39	41	42	3	35	42	3476330	3925199	3622825	3349085	0	15831348
35	14328654	6	42	568440398	39.67	39	41	42	3	35	42	3477378	3828537	3608516	3414223	0	15831348
36	14283389	6	42	563850787	39.48	39	41	42	3	35	42	3413627	3925132	3548048	3396582	0	15831348
37	14236784	6	42	562174291	39.49	39	41	42	3	35	42	3422342	3932724	3593788	3287930	0	15831348
38	14191146	6	42	559907148	39.45	39	41	42	3	35	42	3431262	3850287	3553151	3356446	0	15831348
39	14146834	6	42	557244561	39.39	38	41	42	4	32	42	3380792	3900222	3480185	3385635	0	15831348
40	14102307	6	42	554460583	39.32	38	41	42	4	32	42	3409558	3888933	3549002	3254814	0	15831348
41	14061198	6	42	551988851	39.26	38	41	42	4	32	42	3409771	3807351	3518035	3326041	0	15831348
42	14017465	6	42	548401028	39.12	38	41	42	4	32	42	3365038	3856650	3464080	3331697	0	15831348
43	13976582	6	42	546277427	39.09	38	41	42	4	32	42	3376245	3844666	3518207	3237464	0	15831348
44	13939556	6	42	543705955	39.00	37	41	42	5	30	42	3362637	3782135	3470943	3323841	0	15831348
45	13917240	6	42	541752138	38.93	37	41	42	5	30	42	3307217	3858536	3440262	3311225	0	15831348
46	13875676	6	42	539010004	38.85	37	41	42	5	30	42	3318323	3831719	3523669	3201965	0	15831348
47	13819693	6	42	535467485	38.75	37	40	42	5	30	42	3325331	3746908	3479312	3268142	0	15831348
48	13757246	6	42	531735530	38.65	36	40	42	6	27	42	3276800	3842715	3375841	3261890	0	15831348
49	13717658	6	42	528318118	38.51	36	40	42	6	27	42	3254221	3797860	3507793	3157784	0	15831348
50	13713592	6	42	526614800	38.40	36	40	42	6	27	42	3305821	3693751	3488426	3225594	0	15831348
51	13713592	6	42	524797123	38.27	36	40	42	6	27	42	3274161	3776694	3436869	3225868	0	15831348
