column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	13529463	11	35	453541563	33.52	32	35	35	3	28	35	1307110	5558849	5135318	1528186	0	13529463
2	13529463	11	35	456171674	33.72	32	35	35	3	28	35	1414340	4527547	3391225	4196351	0	13529463
3	13529463	11	35	457302508	33.80	32	35	35	3	28	35	2093480	5235334	3223861	2976788	0	13529463
4	13529463	11	38	503676173	37.23	38	38	38	0	38	38	2933984	4405016	3676300	2514163	0	13529463
5	13529463	11	38	504618604	37.30	38	38	38	0	38	38	3511834	3348891	3759195	2909543	0	13529463
6	13485620	7	38	501830218	37.21	37	38	38	1	36	38	3899228	3239839	3465903	2880650	0	13529463
7	13441842	6	38	499830311	37.18	37	38	38	1	36	38	3298654	2852080	2755385	4535723	0	13529463
8	13405720	6	38	498510907	37.19	37	38	38	1	36	38	2963207	3536079	3076080	3830354	0	13529463
9	13363761	6	40	520833329	38.97	39	40	40	1	38	40	2695929	3712575	2961968	3993289	0	13529463
10	13325698	6	40	519493283	38.98	39	40	40	1	38	40	4230513	2902952	3032784	3159449	0	13529463
11	13283103	6	40	517944536	38.99	39	40	40	1	38	40	3394453	3604955	3546585	2737110	0	13529463
12	13239028	6	40	516027773	38.98	39	40	40	1	38	40	2881393	3815214	3307413	3235008	0	13529463
13	13198325	6	40	513201199	38.88	39	40	40	1	38	40	3198406	3479243	3254213	3266463	0	13529463
14	13158280	6	42	530607044	40.32	40	42	42	2	37	42	3167086	3463794	3189659	3337741	0	13529463
15	13114180	6	42	528401874	40.29	40	42	42	2	37	42	3107681	3558423	3225335	3222741	0	13529463
16	13065564	6	42	525755335	40.24	40	42	42	2	37	42	3092521	3569818	3335063	3068162	0	13529463
17	13027381	6	42	524344644	40.25	40	42	42	2	37	42	3160145	3509975	3256414	3100847	0	13529463
18	12975425	6	42	522315196	40.25	40	42	42	2	37	42	3102564	3559010	3204681	3109170	0	13529463
19	12933727	6	42	521214549	40.30	40	42	42	2	37	42	3084236	3564793	3281931	3002767	0	13529463
20	12891832	6	42	519344751	40.28	40	42	42	2	37	42	3075987	3465108	3269526	3081211	0	13529463
21	12847971	6	42	517194160	40.25	40	42	42	2	37	42	3034162	3532578	3183607	3097624	0	13529463
22	12807782	6	42	514324893	40.16	40	42	42	2	37	42	3110823	3491383	3290156	2915420	0	13529463
23	12770333	6	42	513021731	40.17	40	41	42	2	37	42	3151408	3402685	3218819	2997421	0	13529463
24	12729824	6	42	511799379	40.20	40	42	42	2	37	42	3068692	3492613	3166734	3001785	0	13529463
25	12691120	6	42	509979057	40.18	40	42	42	2	37	42	3066542	3486305	3252325	2885948	0	13529463
26	12653339	6	42	508013105	40.15	40	41	42	2	37	42	3069986	3436399	3195564	2951390	0	13529463
27	12614364	6	42	505950794	40.11	40	41	42	2	37	42	2998520	3480144	3118098	3017602	0	13529463
28	12571870	6	42	504001345	40.09	39	41	42	3	35	42	3011226	3470000	3198672	2891972	0	13529463
29	12533386	6	42	501955125	40.05	39	41	42	3	35	42	3035163	3393127	3162760	2942336	0	13529463
30	12493596	6	42	500046385	40.02	39	41	42	3	35	42	2970708	3460489	3101050	2961349	0	13529463
31	12452824	6	42	497575071	39.96	39	41	42	3	35	42	2980241	3449941	3178845	2843797	0	13529463
32	12414301	6	42	495561074	39.92	39	41	42	3	35	42	3026348	3347741	3110248	2929964	0	13529463
33	12373994	6	42	493407481	39.87	39	41	42	3	35	42	2942780	3411940	3052619	2966655	0	13529463
34	12336874	6	42	491360113	39.83	39	41	42	3	35	42	2980886	3393085	3151671	2811232	0	13529463
35	12299150	6	42	489060784	39.76	39	41	42	3	35	42	2999519	3312646	3115053	2871932	0	13529463
36	12262156	6	42	486930942	39.71	39	41	42	3	35	42	2927836	3404377	3051352	2878591	0	13529463
37	12224184	6	42	484714101	39.65	39	41	42	3	35	42	2930413	3413066	3127209	2753496	0	13529463
38	12186972	6	42	482516375	39.59	39	41	42	3	35	42	2955337	3332538	3068899	2830198	0	13529463
39	12150206	6	42	480071173	39.51	39	41	42	3	35	42	2909087	3371362	3010374	2859383	0	13529463
40	12113796	6	42	477466313	39.42	38	41	42	4	32	42	2934729	3371105	3079970	2727992	0	13529463
41	12079436	6	42	475127524	39.33	38	41	42	4	32	42	2940876	3293819	3033233	2811508	0	13529463
42	12041634	6	42	472621696	39.25	38	41	42	4	32	42	2885718	3347493	2996716	2811707	0	13529463
43	12006790	6	42	470472238	39.18	38	41	42	4	32	42	2911641	3316711	3058280	2720158	0	13529463
44	11976465	6	42	468162288	39.09	38	41	42	4	32	42	2898955	3265222	3012564	2799724	0	13529463
45	11958792	6	42	466559525	39.01	37	41	42	5	30	42	2845310	3353657	2966789	2793036	0	13529463
46	11925075	6	42	464228327	38.93	37	41	42	5	30	42	2851065	3320368	3060231	2693411	0	13529463
47	11875880	6	42	461052996	38.82	37	40	42	5	30	42	2860060	3249133	3010066	2756621	0	13529463
48	11822831	6	42	457696556	38.71	36	40	42	6	27	42	2826351	3344986	2901670	2749824	0	13529463
49	11788789	6	42	454916810	38.59	36	40	42	6	27	42	2809942	3288993	3039418	2650436	0	13529463
50	11785379	6	42	453377791	38.47	36	40	42	6	27	42	2850022	3194379	3027722	2713256	0	13529463
51	11785379	6	42	451599198	38.32	36	40	42	6	27	42	2806576	3279876	2983033	2715894	0	13529463
