column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15348791	11	35	513958327	33.49	32	35	35	3	28	35	1908872	7361761	4976997	1101161	0	15348791
2	15348791	11	35	517174943	33.69	32	35	35	3	28	35	1629701	4160556	3396169	6162365	0	15348791
3	15348791	11	35	518105280	33.76	32	35	35	3	28	35	2371772	6032244	3129716	3815059	0	15348791
4	15348791	11	38	570914218	37.20	38	38	38	0	38	38	3343003	5144141	3822454	3039193	0	15348791
5	15348791	11	38	571955230	37.26	38	38	38	0	38	38	4021622	3665435	3993790	3667944	0	15348791
6	15292943	7	38	568615224	37.18	37	38	38	1	36	38	4478742	3647260	3600980	3565961	0	15348791
7	15244305	6	38	566591814	37.17	37	38	38	1	36	38	3937625	2990796	2956235	5359649	0	15348791
8	15207575	6	38	565045658	37.16	37	38	38	1	36	38	3350314	3927246	3068934	4861081	0	15348791
9	15159915	6	40	590431967	38.95	39	40	40	1	38	40	2948750	4124711	3137551	4948903	0	15348791
10	15114649	6	40	588862888	38.96	39	40	40	1	38	40	4797775	3263351	3328412	3725111	0	15348791
11	15068216	6	40	587003827	38.96	39	40	40	1	38	40	3952655	3963866	3831620	3320075	0	15348791
12	15018116	6	40	584620491	38.93	39	40	40	1	38	40	3312647	4271619	3617758	3816092	0	15348791
13	14970993	6	40	581452057	38.84	39	40	40	1	38	40	3650060	3920564	3615614	3784755	0	15348791
14	14928084	6	42	601109061	40.27	40	42	42	2	37	42	3697392	3811326	3466776	3952590	0	15348791
15	14879737	6	42	598843901	40.25	40	42	42	2	37	42	3571045	3989434	3510260	3808998	0	15348791
16	14829868	6	42	596546145	40.23	40	42	42	2	37	42	3606378	3995132	3672172	3556186	0	15348791
17	14788118	6	42	594703146	40.21	40	42	42	2	37	42	3708558	3840614	3547776	3691170	0	15348791
18	14737943	6	42	592742527	40.22	40	42	42	2	37	42	3629680	3958287	3501766	3648210	0	15348791
19	14691695	6	42	591444677	40.26	40	42	42	2	37	42	3619180	3962053	3639510	3470952	0	15348791
20	14650154	6	42	588629323	40.18	40	42	42	2	37	42	3631721	3778990	3560972	3678471	0	15348791
21	14601604	6	42	586849510	40.19	40	42	42	2	37	42	3519691	3950756	3475166	3655991	0	15348791
22	14556951	6	42	585298581	40.21	40	42	42	2	37	42	3614341	3907651	3621482	3413477	0	15348791
23	14513934	6	42	583320659	40.19	40	42	42	2	37	42	3676203	3740135	3496211	3601385	0	15348791
24	14469906	6	42	581427885	40.18	40	42	42	2	37	42	3560041	3915316	3434443	3560106	0	15348791
25	14425193	6	42	579301161	40.16	40	42	42	2	37	42	3570136	3890590	3595864	3368603	0	15348791
26	14383797	6	42	577175884	40.13	40	42	42	2	37	42	3608309	3767634	3478679	3529175	0	15348791
27	14337861	6	42	574877050	40.10	40	41	42	2	37	42	3477911	3894004	3403896	3562050	0	15348791
28	14291435	6	42	572579620	40.06	39	41	42	3	35	42	3491198	3869172	3552552	3378513	0	15348791
29	14249626	6	42	570297264	40.02	39	41	42	3	35	42	3553215	3720425	3456254	3519732	0	15348791
30	14203208	6	42	568152645	40.00	39	41	42	3	35	42	3443957	3876046	3394062	3489143	0	15348791
31	14156416	6	42	565864702	39.97	39	41	42	3	35	42	3480637	3848744	3511682	3315353	0	15348791
32	14112577	6	42	563429161	39.92	39	41	42	3	35	42	3544125	3663637	3402395	3502420	0	15348791
33	14065903	6	42	560858520	39.87	39	41	42	3	35	42	3410568	3816520	3337156	3501659	0	15348791
34	14024391	6	42	558685431	39.84	39	41	42	3	35	42	3478158	3794419	3488787	3263027	0	15348791
35	13981754	6	42	556094424	39.77	39	41	42	3	35	42	3512257	3630460	3413017	3426020	0	15348791
36	13937911	6	42	551733015	39.59	39	41	42	3	35	42	3376459	3808588	3357323	3395541	0	15348791
37	13894321	6	42	550314130	39.61	39	41	42	3	35	42	3409036	3819058	3462841	3203386	0	15348791
38	13852388	6	42	548236073	39.58	39	41	42	3	35	42	3453736	3655537	3364214	3378901	0	15348791
39	13810071	6	42	545771953	39.52	39	41	42	3	35	42	3363322	3784465	3287871	3374413	0	15348791
40	13767529	6	42	543261284	39.46	39	41	42	3	35	42	3415943	3748746	3424445	3178395	0	15348791
41	13728572	6	42	540939652	39.40	38	41	42	4	32	42	3444710	3605326	3332129	3346407	0	15348791
42	13686397	6	42	537619961	39.28	38	41	42	4	32	42	3346854	3742423	3283082	3314038	0	15348791
43	13647287	6	42	535683726	39.25	38	41	42	4	32	42	3387129	3713896	3395709	3150553	0	15348791
44	13612360	6	42	533289254	39.18	38	41	42	4	32	42	3403179	3585404	3290282	3333495	0	15348791
45	13592264	6	42	531580031	39.11	38	41	42	4	32	42	3294299	3742698	3258675	3296592	0	15348791
46	13552235	6	42	529007682	39.03	38	41	42	4	32	42	3325714	3714596	3387405	3124520	0	15348791
47	13500505	6	42	525694484	38.94	37	41	42	5	30	42	3362608	3564893	3299511	3273493	0	15348791
48	13439723	6	42	522166313	38.85	37	41	42	5	30	42	3261422	3741020	3190238	3247043	0	15348791
49	13398125	6	42	518818241	38.72	37	40	42	5	30	42	3272331	3669227	3375915	3080652	0	15348791
50	13393953	6	42	517178600	38.61	36	40	42	6	27	42	3345698	3502297	3317882	3228076	0	15348791
51	13393953	6	42	515521945	38.49	36	40	42	6	27	42	3259405	3661106	3260715	3212727	0	15348791
