column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15909715	11	35	531989907	33.44	32	34	35	3	28	35	1625288	6594053	5741089	1949285	0	15909715
2	15909715	11	35	535422166	33.65	32	35	35	3	28	35	1740364	5123708	4014175	5031468	0	15909715
3	15909715	11	35	536668454	33.73	32	35	35	3	28	35	2651661	5951682	3795889	3510483	0	15909715
4	15909715	11	38	591115653	37.15	36	38	38	2	33	38	3594385	5025182	4272505	3017643	0	15909715
5	15909715	11	38	592400483	37.24	36	38	38	2	33	38	4249986	3826866	4393061	3439802	0	15909715
6	15860300	7	38	589021623	37.14	36	38	38	2	33	38	4652764	3804776	3939721	3463039	0	15909715
7	15810561	6	38	586852555	37.12	36	38	38	2	33	38	3783483	3375626	3158965	5492487	0	15909715
8	15768568	6	38	585324429	37.12	36	38	38	2	33	38	3434189	4215204	3558037	4561138	0	15909715
9	15717398	6	40	611254319	38.89	39	40	40	1	38	40	3190016	4371236	3447147	4708999	0	15909715
10	15671965	6	40	609665902	38.90	39	40	40	1	38	40	4993783	3382148	3527293	3768741	0	15909715
11	15620546	6	40	607771842	38.91	39	40	40	1	38	40	3989832	4260185	4151578	3218951	0	15909715
12	15565153	6	40	605376601	38.89	39	40	40	1	38	40	3349683	4445885	3860560	3909025	0	15909715
13	15514863	6	40	601814830	38.79	39	40	40	1	38	40	3774459	4055255	3774293	3910856	0	15909715
14	15462529	6	42	621689009	40.21	40	42	42	2	37	42	3697794	4059178	3693663	4011894	0	15909715
15	15408207	6	42	619059745	40.18	40	42	42	2	37	42	3665753	4138807	3746681	3856966	0	15909715
16	15343824	6	42	615614793	40.12	39	41	42	3	35	42	3611302	4160863	3861717	3709942	0	15909715
17	15295837	6	42	613931150	40.14	39	41	42	3	35	42	3730551	4095841	3777794	3691651	0	15909715
18	15218920	6	42	610892473	40.14	39	41	42	3	35	42	3647556	4141400	3710066	3719898	0	15909715
19	15169786	6	42	609599161	40.19	40	42	42	2	37	42	3613458	4160322	3799953	3596053	0	15909715
20	15109976	6	42	607079211	40.18	40	41	42	2	37	42	3589846	4051805	3790966	3677359	0	15909715
21	15060422	6	42	604550941	40.14	40	41	42	2	37	42	3561200	4120702	3692984	3685536	0	15909715
22	15010485	6	42	601149720	40.05	40	41	42	2	37	42	3642251	4063632	3800504	3504098	0	15909715
23	14966131	6	42	599489120	40.06	40	41	42	2	37	42	3674455	3971231	3731219	3589226	0	15909715
24	14917530	6	42	598030802	40.09	39	41	42	3	35	42	3593377	4064588	3668402	3591163	0	15909715
25	14871118	6	42	595874063	40.07	39	41	42	3	35	42	3588580	4045733	3762964	3473841	0	15909715
26	14825325	6	42	593489947	40.03	39	41	42	3	35	42	3595668	3996429	3704542	3528686	0	15909715
27	14777969	6	42	591044950	40.00	39	41	42	3	35	42	3525949	4046159	3619377	3586484	0	15909715
28	14727774	6	42	588727528	39.97	39	41	42	3	35	42	3541156	4009961	3711152	3465505	0	15909715
29	14681375	6	42	586304850	39.94	39	41	42	3	35	42	3545769	3948716	3673453	3513437	0	15909715
30	14632850	6	42	583954996	39.91	39	41	42	3	35	42	3492195	4009939	3596841	3533875	0	15909715
31	14584094	6	42	580940928	39.83	39	41	42	3	35	42	3498255	4001758	3669354	3414727	0	15909715
32	14537445	6	42	578604218	39.80	39	41	42	3	35	42	3543768	3887897	3609071	3496709	0	15909715
33	14489334	6	42	576116704	39.76	39	41	42	3	35	42	3457912	3949795	3544449	3537178	0	15909715
34	14444310	6	42	573582000	39.71	39	41	42	3	35	42	3494280	3946083	3639309	3364638	0	15909715
35	14398640	6	42	570865283	39.65	39	41	42	3	35	42	3493544	3849003	3623091	3433002	0	15909715
36	14353132	6	42	568327205	39.60	39	41	42	3	35	42	3426720	3953748	3552425	3420239	0	15909715
37	14306496	6	42	565647656	39.54	39	41	42	3	35	42	3438939	3951803	3606578	3309176	0	15909715
38	14260922	6	42	563042705	39.48	39	41	42	3	35	42	3443837	3869431	3572844	3374810	0	15909715
39	14216259	6	42	560209982	39.41	38	41	42	4	32	42	3396835	3924127	3493627	3401670	0	15909715
40	14171683	6	42	557134211	39.31	38	41	42	4	32	42	3427559	3910568	3562697	3270859	0	15909715
41	14130639	6	42	554371811	39.23	38	41	42	4	32	42	3427012	3828641	3529500	3345486	0	15909715
42	14086496	6	42	551449551	39.15	38	41	42	4	32	42	3381244	3876112	3479045	3350095	0	15909715
43	14045463	6	42	549009448	39.09	38	41	42	4	32	42	3394449	3862827	3534458	3253729	0	15909715
44	14007944	6	42	546182414	38.99	37	41	42	5	30	42	3377764	3798897	3490273	3341010	0	15909715
45	13985517	6	42	544291854	38.92	37	41	42	5	30	42	3326551	3877760	3454982	3326224	0	15909715
46	13943635	6	42	541540431	38.84	37	41	42	5	30	42	3336805	3851902	3537067	3217861	0	15909715
47	13886923	6	42	537908446	38.73	37	40	42	5	30	42	3342448	3767256	3494672	3282547	0	15909715
48	13823917	6	42	533999834	38.63	36	40	42	6	27	42	3295626	3860713	3391830	3275748	0	15909715
49	13784157	6	42	530812815	38.51	36	40	42	6	27	42	3270959	3814335	3524551	3174312	0	15909715
50	13780028	6	42	528985807	38.39	36	40	42	6	27	42	3323449	3709421	3508608	3238550	0	15909715
51	13780028	6	42	526848182	38.23	36	40	42	6	27	42	3289028	3798058	3453084	3239858	0	15909715
