column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	21742067	11	35	728023822	33.48	32	35	35	3	28	35	2006502	8974499	8180131	2580935	0	21742067
2	21742067	11	35	732542584	33.69	32	35	35	3	28	35	2154671	7101398	5549359	6936639	0	21742067
3	21742067	11	35	734266457	33.77	32	35	35	3	28	35	3331795	8239194	5300825	4870253	0	21742067
4	21742067	11	38	808459225	37.18	36	38	38	2	33	38	4672097	6919035	5998488	4152447	0	21742067
5	21742067	11	38	810169480	37.26	38	38	38	0	38	38	5547922	5226106	6132526	4835513	0	21742067
6	21672678	7	38	805524507	37.17	37	38	38	1	36	38	6177001	5179609	5488578	4827490	0	21742067
7	21604224	6	38	802459299	37.14	36	38	38	2	33	38	5128164	4485168	4338805	7652087	0	21742067
8	21546191	6	38	800397971	37.15	37	38	38	1	36	38	4649859	5596110	4929244	6370978	0	21742067
9	21477330	6	40	836013821	38.93	39	40	40	1	38	40	4240904	5882400	4752791	6601235	0	21742067
10	21415324	6	40	833811820	38.94	39	40	40	1	38	40	6751023	4571115	4834219	5258967	0	21742067
11	21346216	6	40	831325885	38.94	39	40	40	1	38	40	5427811	5702524	5683419	4532462	0	21742067
12	21273786	6	40	828240628	38.93	39	40	40	1	38	40	4603424	5987273	5285221	5397868	0	21742067
13	21207028	6	40	823533162	38.83	39	40	40	1	38	40	5122443	5469797	5192859	5421929	0	21742067
14	21142992	6	42	851342218	40.27	40	42	42	2	37	42	5074481	5457778	5080758	5529975	0	21742067
15	21071382	6	42	847865022	40.24	40	42	42	2	37	42	4978864	5591934	5154124	5346460	0	21742067
16	20987336	6	42	843449213	40.19	40	42	42	2	37	42	4948723	5636358	5315199	5087056	0	21742067
17	20922706	6	42	841158355	40.20	40	42	42	2	37	42	5079853	5551722	5198810	5092321	0	21742067
18	20827325	6	42	837410254	40.21	40	42	42	2	37	42	4985690	5636614	5099397	5105624	0	21742067
19	20760531	6	42	835591244	40.25	40	42	42	2	37	42	4910530	5675964	5240056	4933981	0	21742067
20	20692162	6	42	832677271	40.24	40	42	42	2	37	42	4894519	5518493	5221601	5057549	0	21742067
21	20623818	6	42	829235030	40.21	40	42	42	2	37	42	4845688	5632947	5076559	5068624	0	21742067
22	20558108	6	42	824710178	40.12	40	42	42	2	37	42	4960878	5555545	5229424	4812261	0	21742067
23	20497453	6	42	822463925	40.13	40	41	42	2	37	42	5008352	5410772	5134747	4943582	0	21742067
24	20432694	6	42	820527890	40.16	40	42	42	2	37	42	4896552	5552060	5041732	4942350	0	21742067
25	20369173	6	42	817636900	40.14	40	42	42	2	37	42	4888121	5527926	5182307	4770819	0	21742067
26	20307635	6	42	814405628	40.10	40	41	42	2	37	42	4904347	5442211	5103164	4857913	0	21742067
27	20242688	6	42	811106422	40.07	39	41	42	3	35	42	4804544	5513053	4977232	4947859	0	21742067
28	20176005	6	42	808037623	40.05	39	41	42	3	35	42	4809985	5475037	5120430	4770553	0	21742067
29	20113621	6	42	804737877	40.01	39	41	42	3	35	42	4833458	5377933	5056549	4845681	0	21742067
30	20047054	6	42	801572960	39.98	39	41	42	3	35	42	4750716	5471708	4955085	4869545	0	21742067
31	19980824	6	42	797515887	39.91	39	41	42	3	35	42	4769254	5456791	5053198	4701581	0	21742067
32	19917812	6	42	794391435	39.88	39	41	42	3	35	42	4833624	5303333	4965439	4815416	0	21742067
33	19851913	6	42	790990014	39.84	39	41	42	3	35	42	4715226	5399411	4869711	4867565	0	21742067
34	19791535	6	42	787625794	39.80	39	41	42	3	35	42	4773577	5383914	5016658	4617386	0	21742067
35	19729908	6	42	783952191	39.73	39	41	42	3	35	42	4777110	5241755	4987269	4723774	0	21742067
36	19667705	6	42	780467020	39.68	39	41	42	3	35	42	4687355	5390491	4885536	4704323	0	21742067
37	19603519	6	42	776816685	39.63	39	41	42	3	35	42	4693164	5402017	4975509	4532829	0	21742067
38	19542125	6	42	773306104	39.57	39	41	42	3	35	42	4715069	5272601	4914138	4640317	0	21742067
39	19480692	6	42	769398251	39.50	39	41	42	3	35	42	4630956	5358822	4808843	4682071	0	21742067
40	19418849	6	42	765211305	39.41	38	41	42	4	32	42	4673397	5351631	4909240	4484581	0	21742067
41	19361861	6	42	761440120	39.33	38	41	42	4	32	42	4678876	5227235	4856607	4599143	0	21742067
42	19301258	6	42	757471596	39.24	38	41	42	4	32	42	4612828	5300300	4780507	4607623	0	21742067
43	19244440	6	42	754093225	39.18	38	41	42	4	32	42	4635916	5281289	4861181	4466054	0	21742067
44	19193062	6	42	750295429	39.09	38	41	42	4	32	42	4614647	5185139	4797729	4595547	0	21742067
45	19161592	6	42	747648148	39.02	37	41	42	5	30	42	4536880	5306185	4739800	4578727	0	21742067
46	19103818	6	42	743856923	38.94	37	41	42	5	30	42	4545625	5257806	4878328	4422059	0	21742067
47	19025779	6	42	738848551	38.83	37	41	42	5	30	42	4557656	5140426	4812341	4515356	0	21742067
48	18938725	6	42	733395827	38.72	36	40	42	6	27	42	4495156	5271859	4662472	4509238	0	21742067
49	18882537	6	42	729000302	38.61	36	40	42	6	27	42	4458133	5211008	4849184	4364212	0	21742067
50	18876983	6	42	726519169	38.49	36	40	42	6	27	42	4536366	5050225	4835360	4455032	0	21742067
51	18876983	6	42	723659416	38.34	36	40	42	6	27	42	4488118	5193014	4740665	4455186	0	21742067
