column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	86201	11	35	2885868	33.48	32	35	35	3	28	35	11233	34357	28238	12373	0	86201
2	86201	11	35	2905101	33.70	32	35	35	3	28	35	11310	26626	21242	27023	0	86201
3	86201	11	35	2910629	33.77	32	35	35	3	28	35	16051	30769	20444	18937	0	86201
4	86201	11	38	3205719	37.19	38	38	38	0	38	38	19769	26443	23495	16494	0	86201
5	86201	11	38	3212649	37.27	38	38	38	0	38	38	23483	19831	23556	19331	0	86201
6	85850	9	38	3190653	37.17	37	38	38	1	36	38	24423	19463	21190	20774	0	86201
7	85144	7	38	3163676	37.16	37	38	38	1	36	38	20421	17976	18527	28220	0	86201
8	84928	9	38	3154576	37.14	37	38	38	1	36	38	20066	21190	18916	24756	0	86201
9	84612	9	40	3294463	38.94	39	40	40	1	38	40	18016	22380	18539	25677	0	86201
10	84346	9	40	3283296	38.93	39	40	40	1	38	40	26071	18126	20064	20085	0	86201
11	84101	9	40	3275046	38.94	39	40	40	1	38	40	22171	22276	21813	17841	0	86201
12	83814	9	40	3263381	38.94	39	40	40	1	38	40	19152	23224	20542	20896	0	86201
13	83550	7	40	3244015	38.83	39	40	40	1	38	40	20835	22068	19471	21176	0	86201
14	83253	9	42	3351623	40.26	40	42	42	2	37	42	20739	20847	20051	21616	0	86201
15	82948	9	42	3337161	40.23	40	42	42	2	37	42	20877	20747	20819	20505	0	86201
16	82620	9	42	3318175	40.16	39	41	42	3	35	42	20354	20964	20497	20805	0	86201
17	82381	7	42	3311393	40.20	40	42	42	2	37	42	21087	21267	20176	19851	0	86201
18	82052	6	42	3299286	40.21	40	42	42	2	37	42	19581	21495	20698	20278	0	86201
19	81795	6	42	3291238	40.24	40	42	42	2	37	42	19381	22244	20279	19891	0	86201
20	81502	9	42	3279179	40.23	40	42	42	2	37	42	19948	20661	20098	20795	0	86201
21	81218	8	42	3266068	40.21	40	42	42	2	37	42	19159	21701	20466	19892	0	86201
22	80921	7	42	3246323	40.12	40	41	42	2	37	42	19949	20926	20463	19583	0	86201
23	80360	7	42	3224393	40.12	40	41	42	2	37	42	20928	20669	19266	19497	0	86201
24	79033	8	42	3173696	40.16	40	42	42	2	37	42	19776	20856	19223	19178	0	86201
25	78417	6	42	3148285	40.15	40	42	42	2	37	42	19766	20644	19425	18582	0	86201
26	78080	6	42	3134036	40.14	40	41	42	2	37	42	19436	20597	19030	19017	0	86201
27	77804	7	42	3120417	40.11	40	41	42	2	37	42	18705	21238	18672	19189	0	86201
28	77496	6	42	3106931	40.09	39	41	42	3	35	42	19060	20864	19382	18190	0	86201
29	77207	6	42	3090644	40.03	39	41	42	3	35	42	19026	20203	19573	18405	0	86201
30	76896	6	42	3077019	40.02	39	41	42	3	35	42	18638	21011	18721	18526	0	86201
31	76632	6	42	3061199	39.95	39	41	42	3	35	42	18553	20654	19192	18233	0	86201
32	76395	7	42	3050832	39.93	39	41	42	3	35	42	19008	19918	18710	18759	0	86201
33	76103	7	42	3035148	39.88	39	41	42	3	35	42	18811	20073	18553	18666	0	86201
34	75763	6	42	3017943	39.83	39	41	42	3	35	42	19067	20297	18721	17678	0	86201
35	75494	7	42	3003538	39.79	39	41	42	3	35	42	18690	19723	18784	18297	0	86201
36	75205	6	42	2987517	39.72	39	41	42	3	35	42	18747	19845	18330	18283	0	86201
37	74878	6	42	2971872	39.69	39	41	42	3	35	42	18700	19969	18490	17719	0	86201
38	74532	6	42	2954476	39.64	39	41	42	3	35	42	18389	19568	18592	17983	0	86201
39	74208	7	42	2936463	39.57	39	41	42	3	35	42	18218	20053	17830	18107	0	86201
40	73837	6	42	2915505	39.49	39	41	42	3	35	42	18454	19586	18591	17206	0	86201
41	73436	6	42	2894069	39.41	38	41	42	4	32	42	18310	19202	18218	17706	0	86201
42	73111	6	42	2875277	39.33	38	41	42	4	32	42	18167	19539	17628	17777	0	86201
43	72759	6	42	2857436	39.27	38	41	42	4	32	42	18001	19055	18274	17429	0	86201
44	72371	6	42	2834390	39.16	38	41	42	4	32	42	17878	18772	18075	17646	0	86201
45	72124	6	42	2819873	39.10	38	41	42	4	32	42	17718	19519	17823	17064	0	86201
46	71719	6	42	2799361	39.03	37	41	42	5	30	42	17745	19459	17944	16571	0	86201
47	71299	6	42	2776576	38.94	37	41	42	5	30	42	17731	18798	17842	16928	0	86201
48	70938	6	42	2753993	38.82	37	41	42	5	30	42	17504	19316	17149	16969	0	86201
49	70734	6	42	2737389	38.70	36	40	42	6	27	42	17378	18893	18012	16451	0	86201
50	70709	6	42	2728674	38.59	36	40	42	6	27	42	17437	18794	17601	16877	0	86201
51	70709	6	42	2718561	38.45	36	40	42	6	27	42	17249	18815	17540	17105	0	86201
