column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	15411923	11	35	515599418	33.45	32	34	35	3	28	35	1678317	6202577	5635742	1895287	0	15411923
2	15411923	11	35	518801894	33.66	32	35	35	3	28	35	1814891	4870232	3744605	4982195	0	15411923
3	15411923	11	35	519865046	33.73	32	35	35	3	28	35	2647402	5690457	3663280	3410784	0	15411923
4	15411923	11	38	572874261	37.17	36	38	38	2	33	38	3572733	4817025	4141084	2881081	0	15411923
5	15411923	11	38	573972144	37.24	36	38	38	2	33	38	4230448	3713865	4185677	3281933	0	15411923
6	15364175	7	38	570913968	37.16	37	38	38	1	36	38	4641311	3603401	3850532	3268931	0	15411923
7	15315765	6	38	568761020	37.14	36	38	38	2	33	38	3782323	3322574	3112438	5098430	0	15411923
8	15275717	6	38	567213250	37.13	36	38	38	2	33	38	3451878	4072635	3442920	4308284	0	15411923
9	15226422	6	40	592486922	38.91	39	40	40	1	38	40	3202688	4211464	3356319	4455951	0	15411923
10	15181057	6	40	590960594	38.93	39	40	40	1	38	40	4871810	3291702	3447428	3570117	0	15411923
11	15131842	6	40	589083228	38.93	39	40	40	1	38	40	3940571	4117518	3996492	3077261	0	15411923
12	15079882	6	40	586578876	38.90	39	40	40	1	38	40	3290040	4322564	3748756	3718522	0	15411923
13	15033101	6	40	583339565	38.80	39	40	40	1	38	40	3674392	3971537	3662588	3724584	0	15411923
14	14984155	6	42	602676702	40.22	40	42	42	2	37	42	3606043	3956401	3563088	3858623	0	15411923
15	14934355	6	42	600310072	40.20	40	42	42	2	37	42	3596705	4023079	3615159	3699412	0	15411923
16	14868307	6	42	597316539	40.17	40	42	42	2	37	42	3536626	4026844	3737575	3567262	0	15411923
17	14823074	6	42	595355044	40.16	39	42	42	3	35	42	3657264	3954559	3639477	3571774	0	15411923
18	14740327	6	42	592066936	40.17	39	42	42	3	35	42	3579519	3994427	3584491	3581890	0	15411923
19	14693500	6	42	590688329	40.20	40	42	42	2	37	42	3546506	4005650	3670932	3470412	0	15411923
20	14640165	6	42	587403865	40.12	40	41	42	2	37	42	3546528	3887715	3653327	3552595	0	15411923
21	14592486	6	42	585628441	40.13	40	41	42	2	37	42	3508465	3964767	3569690	3549564	0	15411923
22	14543897	6	42	583872673	40.15	40	41	42	2	37	42	3587622	3927369	3660373	3368533	0	15411923
23	14500884	6	42	581893172	40.13	40	41	42	2	37	42	3622136	3835044	3589681	3454023	0	15411923
24	14453009	6	42	579746065	40.11	40	41	42	2	37	42	3541926	3929859	3532122	3449102	0	15411923
25	14408228	6	42	577574539	40.09	39	41	42	3	35	42	3536264	3912139	3622613	3337212	0	15411923
26	14363374	6	42	575319979	40.05	39	41	42	3	35	42	3541911	3864814	3558079	3398570	0	15411923
27	14318129	6	42	572960235	40.02	39	41	42	3	35	42	3463901	3909398	3487772	3457058	0	15411923
28	14269242	6	42	570503597	39.98	39	41	42	3	35	42	3478279	3879351	3587837	3323775	0	15411923
29	14224656	6	42	568115806	39.94	39	41	42	3	35	42	3486640	3811216	3538971	3387829	0	15411923
30	14177555	6	42	565852980	39.91	39	41	42	3	35	42	3429907	3881101	3467428	3399119	0	15411923
31	14130365	6	42	563454001	39.88	39	41	42	3	35	42	3436187	3861954	3553689	3278535	0	15411923
32	14084063	6	42	560919642	39.83	39	41	42	3	35	42	3476883	3750682	3475466	3381032	0	15411923
33	14038312	6	42	558294689	39.77	39	41	42	3	35	42	3393556	3819836	3421116	3403804	0	15411923
34	13994741	6	42	555942908	39.73	39	41	42	3	35	42	3426257	3807098	3522791	3238595	0	15411923
35	13950604	6	42	553271673	39.66	39	41	42	3	35	42	3441107	3710621	3482941	3315935	0	15411923
36	13905395	6	42	548764390	39.46	39	41	42	3	35	42	3367830	3810469	3434176	3292920	0	15411923
37	13859655	6	42	547147697	39.48	39	41	42	3	35	42	3372531	3819090	3493992	3174042	0	15411923
38	13815117	6	42	544912944	39.44	39	41	42	3	35	42	3395261	3733780	3428035	3258041	0	15411923
39	13771613	6	42	542335212	39.38	38	41	42	4	32	42	3337782	3791616	3361820	3280395	0	15411923
40	13726899	6	42	539640375	39.31	38	41	42	4	32	42	3373860	3769088	3439439	3144512	0	15411923
41	13686243	6	42	537172612	39.25	38	41	42	4	32	42	3376816	3681416	3393254	3234757	0	15411923
42	13640880	6	42	533628280	39.12	38	41	42	4	32	42	3328727	3744160	3350428	3217565	0	15411923
43	13599812	6	42	531512703	39.08	38	41	42	4	32	42	3333821	3717980	3419940	3128071	0	15411923
44	13561680	6	42	528938444	39.00	37	41	42	5	30	42	3327239	3659830	3350579	3224032	0	15411923
45	13538556	6	42	527004368	38.93	37	41	42	5	30	42	3265095	3747031	3323682	3202748	0	15411923
46	13495816	6	42	524241790	38.84	37	41	42	5	30	42	3274312	3714933	3411547	3095024	0	15411923
47	13440652	6	42	520780445	38.75	37	40	42	5	30	42	3283161	3627879	3365270	3164342	0	15411923
48	13379624	6	42	517146796	38.65	36	40	42	6	27	42	3232818	3726384	3269868	3150554	0	15411923
49	13341466	6	42	513832133	38.51	36	40	42	6	27	42	3222940	3674592	3400186	3043748	0	15411923
50	13337478	6	42	512200847	38.40	36	40	42	6	27	42	3267341	3577666	3373290	3119181	0	15411923
51	13337478	6	42	510417708	38.27	36	40	42	6	27	42	3230128	3662882	3332684	3111784	0	15411923
