column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	13388248	11	35	449155564	33.55	32	35	35	3	28	35	1293462	5508141	5073018	1513627	0	13388248
2	13388248	11	35	451668585	33.74	32	35	35	3	28	35	1400996	4491778	3337775	4157699	0	13388248
3	13388248	11	35	452650752	33.81	32	35	35	3	28	35	2076010	5186791	3175611	2949836	0	13388248
4	13388248	11	38	498735260	37.25	38	38	38	0	38	38	2907431	4368429	3615792	2496596	0	13388248
5	13388248	11	38	499520699	37.31	38	38	38	0	38	38	3483107	3322073	3691654	2891414	0	13388248
6	13344622	7	38	496927099	37.24	38	38	38	0	38	38	3857504	3206429	3431843	2848846	0	13388248
7	13301224	6	38	494938085	37.21	37	38	38	1	36	38	3263556	2820928	2728800	4487940	0	13388248
8	13265598	6	38	493569122	37.21	37	38	38	1	36	38	2931483	3499939	3045162	3789014	0	13388248
9	13224119	6	40	515840690	39.01	39	40	40	1	38	40	2668465	3673810	2931191	3950653	0	13388248
10	13186541	6	40	514581421	39.02	39	40	40	1	38	40	4184082	2873338	3000180	3128941	0	13388248
11	13144471	6	40	512996174	39.03	39	40	40	1	38	40	3353967	3568654	3511533	2710317	0	13388248
12	13100599	6	40	510870379	39.00	39	40	40	1	38	40	2850197	3773792	3273826	3202784	0	13388248
13	13060344	6	40	508188189	38.91	39	40	40	1	38	40	3167186	3441605	3219171	3232382	0	13388248
14	13020831	6	42	525508205	40.36	40	42	42	2	37	42	3129946	3430769	3157536	3302580	0	13388248
15	12977043	6	42	523379008	40.33	40	42	42	2	37	42	3075220	3519011	3193589	3189223	0	13388248
16	12929008	6	42	521130193	40.31	40	42	42	2	37	42	3057363	3532725	3304171	3034749	0	13388248
17	12891267	6	42	519466834	40.30	40	42	42	2	37	42	3124914	3476784	3221862	3067707	0	13388248
18	12840011	6	42	517430711	40.30	40	42	42	2	37	42	3068595	3521810	3170835	3078771	0	13388248
19	12798679	6	42	516181823	40.33	40	42	42	2	37	42	3049744	3528610	3252698	2967627	0	13388248
20	12757214	6	42	513518025	40.25	40	42	42	2	37	42	3042272	3422978	3243748	3048216	0	13388248
21	12714140	6	42	511907442	40.26	40	42	42	2	37	42	3001398	3497768	3156840	3058134	0	13388248
22	12674204	6	42	510451809	40.27	40	42	42	2	37	42	3074617	3462308	3250327	2886952	0	13388248
23	12637130	6	42	508781482	40.26	40	42	42	2	37	42	3120384	3366732	3180543	2969471	0	13388248
24	12597153	6	42	506961556	40.24	40	42	42	2	37	42	3033380	3458123	3133760	2971890	0	13388248
25	12559331	6	42	505077734	40.22	40	42	42	2	37	42	3036046	3445110	3221055	2857120	0	13388248
26	12521448	6	42	503184384	40.19	40	42	42	2	37	42	3038335	3404533	3158595	2919985	0	13388248
27	12482951	6	42	501152841	40.15	40	41	42	2	37	42	2963015	3448378	3084865	2986693	0	13388248
28	12440844	6	42	499086729	40.12	40	41	42	2	37	42	2977166	3436078	3165955	2861645	0	13388248
29	12402487	6	42	496972491	40.07	39	41	42	3	35	42	2998517	3362191	3129147	2912632	0	13388248
30	12362727	6	42	495080456	40.05	39	41	42	3	35	42	2935622	3425782	3069174	2932149	0	13388248
31	12322237	6	42	493008961	40.01	39	41	42	3	35	42	2947444	3415383	3144448	2814962	0	13388248
32	12283962	6	42	490821191	39.96	39	41	42	3	35	42	2992593	3309930	3078302	2903137	0	13388248
33	12244174	6	42	488512833	39.90	39	41	42	3	35	42	2908248	3377445	3022978	2935503	0	13388248
34	12207441	6	42	486498890	39.85	39	41	42	3	35	42	2948662	3360668	3116252	2781859	0	13388248
35	12169822	6	42	484196905	39.79	39	41	42	3	35	42	2965036	3276408	3084201	2844177	0	13388248
36	12132786	6	42	480171562	39.58	39	41	42	3	35	42	2900695	3361414	3030957	2839720	0	13388248
37	12094961	6	42	478914892	39.60	39	41	42	3	35	42	2896005	3377040	3097135	2724781	0	13388248
38	12057839	6	42	477044306	39.56	39	41	42	3	35	42	2925311	3301134	3033551	2797843	0	13388248
39	12021177	6	42	474793753	39.50	39	41	42	3	35	42	2874656	3337919	2978666	2829936	0	13388248
40	11985254	6	42	472498230	39.42	38	41	42	4	32	42	2901345	3336496	3047487	2699926	0	13388248
41	11951188	6	42	470344462	39.36	38	41	42	4	32	42	2906377	3255377	3006695	2782739	0	13388248
42	11914304	6	42	467296487	39.22	38	41	42	4	32	42	2853529	3311641	2968772	2780362	0	13388248
43	11879805	6	42	465474367	39.18	38	41	42	4	32	42	2877751	3285311	3024961	2691782	0	13388248
44	11849837	6	42	463359424	39.10	38	41	42	4	32	42	2863389	3232597	2980154	2773697	0	13388248
45	11832439	6	42	461729213	39.02	37	41	42	5	30	42	2816463	3319580	2935380	2761016	0	13388248
46	11799027	6	42	459399739	38.94	37	41	42	5	30	42	2817156	3288171	3031260	2662440	0	13388248
47	11750828	6	42	456354690	38.84	37	41	42	5	30	42	2826265	3223075	2977105	2724383	0	13388248
48	11698205	6	42	453117216	38.73	36	40	42	6	27	42	2794185	3309388	2871073	2723559	0	13388248
49	11664227	6	42	450183329	38.60	36	40	42	6	27	42	2777282	3255242	3009848	2621855	0	13388248
50	11660763	6	42	448729099	38.48	36	40	42	6	27	42	2818535	3163315	2995005	2683908	0	13388248
51	11660763	6	42	447154926	38.35	36	40	42	6	27	42	2775511	3245957	2950947	2688348	0	13388248
