column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	17450091	11	35	583781968	33.45	32	35	35	3	28	35	1751762	7313164	6351361	2033804	0	17450091
2	17450091	11	35	587424532	33.66	32	35	35	3	28	35	1873251	5558760	4327438	5690642	0	17450091
3	17450091	11	35	588599059	33.73	32	35	35	3	28	35	2848451	6597201	4168639	3835800	0	17450091
4	17450091	11	38	648585689	37.17	36	38	38	2	33	38	3930623	5500891	4741799	3276778	0	17450091
5	17450091	11	38	649819164	37.24	36	38	38	2	33	38	4682173	4176025	4813724	3778169	0	17450091
6	17393949	7	38	646255981	37.15	37	38	38	1	36	38	5084963	4091762	4377838	3839386	0	17450091
7	17338971	6	38	643792187	37.13	36	38	38	2	33	38	4263989	3625653	3453846	5995483	0	17450091
8	17293319	6	38	642053404	37.13	36	38	38	2	33	38	3747966	4544824	3930251	5070278	0	17450091
9	17238108	6	40	670677680	38.91	39	40	40	1	38	40	3502427	4741724	3783726	5210231	0	17450091
10	17187868	6	40	669048328	38.93	39	40	40	1	38	40	5478439	3673057	3864310	4172062	0	17450091
11	17131953	6	40	666899274	38.93	39	40	40	1	38	40	4454165	4589117	4543083	3545588	0	17450091
12	17069418	6	40	663947333	38.90	39	40	40	1	38	40	3712660	4816197	4221457	4319104	0	17450091
13	17012725	6	40	660150527	38.80	39	40	40	1	38	40	4177878	4412072	4135533	4287242	0	17450091
14	16948892	6	42	681753046	40.22	40	42	42	2	37	42	4073018	4406488	4047027	4422359	0	17450091
15	16886654	6	42	678842383	40.20	40	42	42	2	37	42	4047332	4505828	4102149	4231345	0	17450091
16	16806679	6	42	675251201	40.18	40	42	42	2	37	42	3976058	4523096	4243868	4063657	0	17450091
17	16753724	6	42	672977580	40.17	40	42	42	2	37	42	4121505	4442241	4143119	4046859	0	17450091
18	16655784	6	42	669063896	40.17	40	42	42	2	37	42	4003557	4513828	4065542	4072857	0	17450091
19	16601389	6	42	667489303	40.21	40	42	42	2	37	42	3969434	4533377	4169055	3929523	0	17450091
20	16535200	6	42	663529472	40.13	40	42	42	2	37	42	3944916	4389076	4169373	4031835	0	17450091
21	16481043	6	42	661512597	40.14	40	41	42	2	37	42	3900966	4490715	4052942	4036420	0	17450091
22	16426349	6	42	659548164	40.15	40	41	42	2	37	42	4002561	4440071	4160708	3823009	0	17450091
23	16377917	6	42	657308371	40.13	40	41	42	2	37	42	4042352	4319732	4094987	3920846	0	17450091
24	16324495	6	42	654882814	40.12	40	42	42	2	37	42	3945546	4434864	4018410	3925675	0	17450091
25	16274189	6	42	652447907	40.09	40	41	42	2	37	42	3938758	4413068	4130552	3791811	0	17450091
26	16224065	6	42	649940620	40.06	39	41	42	3	35	42	3951272	4343836	4061826	3867131	0	17450091
27	16172276	6	42	647287061	40.02	39	41	42	3	35	42	3864519	4402365	3969645	3935747	0	17450091
28	16117948	6	42	644557639	39.99	39	41	42	3	35	42	3881776	4364397	4085920	3785855	0	17450091
29	16067792	6	42	641855178	39.95	39	41	42	3	35	42	3896010	4290344	4029435	3852003	0	17450091
30	16014034	6	42	639278367	39.92	39	41	42	3	35	42	3831905	4371905	3945450	3864774	0	17450091
31	15960206	6	42	636548737	39.88	39	41	42	3	35	42	3842697	4352204	4036819	3728486	0	17450091
32	15908740	6	42	633718607	39.83	39	41	42	3	35	42	3882294	4227204	3962482	3836760	0	17450091
33	15856114	6	42	630725840	39.78	39	41	42	3	35	42	3786905	4307093	3888066	3874050	0	17450091
34	15807628	6	42	628114739	39.73	39	41	42	3	35	42	3835745	4300977	4004294	3666612	0	17450091
35	15757442	6	42	625116415	39.67	39	41	42	3	35	42	3845430	4178903	3976508	3756601	0	17450091
36	15707212	6	42	620046027	39.48	39	41	42	3	35	42	3762450	4300771	3913881	3730110	0	17450091
37	15655764	6	42	618222767	39.49	39	41	42	3	35	42	3773489	4306486	3973884	3601905	0	17450091
38	15605954	6	42	615737456	39.46	39	41	42	3	35	42	3792178	4200192	3915480	3698104	0	17450091
39	15557315	6	42	612813689	39.39	38	41	42	4	32	42	3720737	4280295	3834352	3721931	0	17450091
40	15508311	6	42	609798998	39.32	38	41	42	4	32	42	3763159	4262015	3915045	3568092	0	17450091
41	15463028	6	42	607075377	39.26	38	41	42	4	32	42	3762343	4163557	3867789	3669339	0	17450091
42	15414974	6	42	603160398	39.13	38	41	42	4	32	42	3711006	4228860	3810456	3664652	0	17450091
43	15369771	6	42	600843040	39.09	38	41	42	4	32	42	3725142	4213112	3886229	3545288	0	17450091
44	15328458	6	42	597992962	39.01	38	41	42	4	32	42	3717010	4129690	3822401	3659357	0	17450091
45	15303374	6	42	595816126	38.93	37	41	42	5	30	42	3648237	4228346	3783272	3643519	0	17450091
46	15257159	6	42	592756638	38.85	37	41	42	5	30	42	3656808	4192649	3894349	3513353	0	17450091
47	15195678	6	42	588845259	38.75	37	40	42	5	30	42	3666625	4095731	3841990	3591332	0	17450091
48	15125914	6	42	584686024	38.65	36	40	42	6	27	42	3614627	4207558	3721612	3582117	0	17450091
49	15081997	6	42	580928016	38.52	36	40	42	6	27	42	3593593	4158088	3869343	3460973	0	17450091
50	15077573	6	42	579035605	38.40	36	40	42	6	27	42	3654715	4033154	3850346	3539358	0	17450091
51	15077573	6	42	577018867	38.27	36	40	42	6	27	42	3609805	4139533	3782246	3545989	0	17450091
