column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	85836	11	35	2876133	33.51	32	35	35	3	28	35	11228	34276	27949	12383	0	85836
2	85836	11	35	2895189	33.73	32	35	35	3	28	35	11082	26485	21304	26965	0	85836
3	85836	11	35	2900560	33.79	32	35	35	3	28	35	15952	30550	20422	18912	0	85836
4	85836	11	38	3194448	37.22	38	38	38	0	38	38	19463	26654	23385	16334	0	85836
5	85836	11	38	3200291	37.28	38	38	38	0	38	38	23253	19845	23327	19411	0	85836
6	85511	9	38	3180175	37.19	37	38	38	1	36	38	24057	19350	21225	20879	0	85836
7	84833	9	38	3153608	37.17	37	38	38	1	36	38	20415	17691	18642	28085	0	85836
8	84622	9	38	3145017	37.17	37	38	38	1	36	38	19843	21184	18980	24615	0	85836
9	84310	9	40	3284988	38.96	39	40	40	1	38	40	17886	22345	18589	25490	0	85836
10	84055	9	40	3276507	38.98	39	40	40	1	38	40	25941	18248	19810	20056	0	85836
11	83789	9	40	3265275	38.97	39	40	40	1	38	40	21959	22067	21918	17845	0	85836
12	83491	9	40	3251859	38.95	39	40	40	1	38	40	19065	23087	20549	20790	0	85836
13	83254	9	40	3235513	38.86	39	40	40	1	38	40	20533	22078	19315	21328	0	85836
14	82950	9	42	3343154	40.30	40	42	42	2	37	42	20601	20878	19835	21636	0	85836
15	82652	9	42	3329150	40.28	40	42	42	2	37	42	20576	20927	20822	20327	0	85836
16	82313	8	42	3312312	40.24	40	42	42	2	37	42	20445	21144	20036	20688	0	85836
17	82069	9	42	3303234	40.25	40	42	42	2	37	42	20796	21376	20036	19861	0	85836
18	81704	9	42	3289729	40.26	40	42	42	2	37	42	19391	21322	20794	20197	0	85836
19	81449	9	42	3282302	40.30	40	42	42	2	37	42	19083	22560	20012	19794	0	85836
20	81160	8	42	3263802	40.21	40	42	42	2	37	42	19718	20539	20066	20837	0	85836
21	80892	6	42	3253525	40.22	40	42	42	2	37	42	18949	21483	20459	20001	0	85836
22	80649	6	42	3245038	40.24	40	42	42	2	37	42	19715	21054	20449	19431	0	85836
23	80121	7	42	3222510	40.22	40	42	42	2	37	42	20848	20477	19446	19350	0	85836
24	78776	7	42	3167258	40.21	40	42	42	2	37	42	19853	20667	19319	18937	0	85836
25	78200	7	42	3143341	40.20	40	42	42	2	37	42	19521	20608	19582	18489	0	85836
26	77844	7	42	3127933	40.18	40	42	42	2	37	42	19277	20568	19093	18906	0	85836
27	77585	6	42	3115241	40.15	40	42	42	2	37	42	18984	20906	18486	19209	0	85836
28	77322	6	42	3102765	40.13	40	41	42	2	37	42	18741	20909	19494	18178	0	85836
29	77052	7	42	3087204	40.07	39	41	42	3	35	42	18923	19972	19509	18648	0	85836
30	76775	7	42	3074631	40.05	39	41	42	3	35	42	18710	20748	18623	18694	0	85836
31	76502	6	42	3060863	40.01	39	41	42	3	35	42	18490	20567	19072	18373	0	85836
32	76220	7	42	3045735	39.96	39	41	42	3	35	42	18839	19696	18881	18804	0	85836
33	75908	6	42	3029992	39.92	39	41	42	3	35	42	18607	20093	18306	18902	0	85836
34	75613	7	42	3014852	39.87	39	41	42	3	35	42	18913	20497	18412	17791	0	85836
35	75308	7	42	2997558	39.80	39	41	42	3	35	42	18715	19730	18795	18068	0	85836
36	74995	6	42	2971826	39.63	39	41	42	3	35	42	18453	19881	18328	18333	0	85836
37	74694	6	42	2960237	39.63	39	41	42	3	35	42	18633	20041	18647	17373	0	85836
38	74323	6	42	2942980	39.60	39	41	42	3	35	42	18556	19466	18430	17871	0	85836
39	74005	6	42	2926419	39.54	39	41	42	3	35	42	18360	19818	17841	17986	0	85836
40	73623	6	42	2906424	39.48	39	41	42	3	35	42	18177	19748	18653	17045	0	85836
41	73188	6	42	2884595	39.41	38	41	42	4	32	42	18194	19095	18233	17666	0	85836
42	72852	6	42	2861895	39.28	38	41	42	4	32	42	18160	19449	17824	17419	0	85836
43	72492	6	42	2846819	39.27	38	41	42	4	32	42	17930	19347	18077	17138	0	85836
44	72076	6	42	2824662	39.19	38	41	42	4	32	42	17816	18793	17745	17722	0	85836
45	71806	6	42	2810559	39.14	38	41	42	4	32	42	17551	19430	17514	17311	0	85836
46	71448	7	42	2790973	39.06	37	41	42	5	30	42	17743	19241	17737	16727	0	85836
47	71030	6	42	2767046	38.96	37	41	42	5	30	42	17668	18850	17711	16801	0	85836
48	70659	6	42	2745751	38.86	37	41	42	5	30	42	17385	19082	17119	17073	0	85836
49	70460	6	42	2729999	38.75	37	40	42	5	30	42	17152	19037	17901	16370	0	85836
50	70435	6	42	2721699	38.64	36	40	42	6	27	42	17265	18704	17918	16548	0	85836
51	70435	6	42	2712018	38.50	36	40	42	6	27	42	17102	18667	17526	17140	0	85836
