Control_1	Control_2	Control_3	Treat_1	Treat_2	Treat_3
comp25796_c0	-1.04909128907437	-1.10171444056977	-0.736770582275251	0.715533652450954	1.20766790958043	0.964374749888004
comp11731_c0	-1.45987615224488	-0.760822974374747	-0.928242509637012	0.73991874768918	1.36958156717135	1.0394413213961
comp20944_c0	-1.40810826120497	-1.10361417223362	-0.761767584190358	0.89700512910497	1.3251322493851	1.05135263913888
comp30028_c0	-1.27168662591904	-1.1044768737156	-1.08608564195548	0.836462177936586	1.43477904679447	1.19100791685906
comp30363_c0	-0.815925754831852	-0.897293305683842	-1.51027895956004	0.749538011968119	1.17962507564465	1.29433493246297
comp30505_c0	-0.899298356306017	-0.790773899527847	-1.18028162291168	0.688547087675071	1.24062366874991	0.94118312232057
comp31577_c0	-1.04054083599953	-1.83198317495416	-1.13747035352497	0.932717635305195	1.69404151567891	1.38323521349455
comp11093_c0	-0.891069628782252	-1.23127165363054	-1.17975843660093	0.796831000280578	1.32890326988773	1.17636544884542
comp15846_c0	0.435955142104286	1.79721780002588	0.710494001191354	-1.01940071164957	-1.79182271792953	-0.132443513742422
comp33855_c0	0.1360243411666	0.435398951970463	2.54330523000138	-0.547347688226771	-1.8900968960229	-0.677283938888772
comp32780_c0	0.555478452429656	1.56029389242414	0.993829236322592	-1.16504057661073	-1.98864241263428	0.0440814080686209
comp14588_c0	-0.816458850163001	-0.93000529058711	-1.57496182335435	0.834886760992987	1.34136608434452	1.14517311876695
comp6511_c0	-0.956212320377329	-1.6517379056647	-0.804555174632048	0.600808844363783	1.38957124042857	1.42212531588172
comp30779_c0	-1.0291465942865	-0.939430375474437	-1.05831867685035	0.583214153646592	1.38109866756287	1.06258282540182
comp4247_c0	-0.934997767659346	-0.785818347780644	-1.07642134747652	0.67909316805719	1.18996930159708	0.928174993262244
comp30130_c0	-1.09349251112018	-1.32572803081486	-1.70365405849934	0.808226567289919	1.49625278597107	1.81839524717339
comp31562_c0	-0.999104574931138	-1.37022616758789	-1.43804471497872	1.02684367329852	1.55254746962728	1.22798431457195
comp26546_c0	-1.12736009394591	-0.75275694689922	-1.12261091066379	0.670373290050598	1.34479669650235	0.987557964955971
comp28990_c0	-1.1350096475988	-1.6281468020571	-1.07179429695827	0.829984685783979	1.5945092784036	1.41045678242659
comp31634_c0	0.290438718665197	1.75688612456219	1.90989945247817	-1.68069627805555	-2.05343689970996	-0.223091117940043
comp20470_c0	-1.07308460471381	-1.08723924254788	-1.34141558023132	1.28696418960489	1.23351925759291	0.981255980295214
comp5770_c0	-1.32496997759902	-1.02897804392944	-1.35280418579574	0.850608470955887	1.54968222489651	1.3064615114718
comp29014_c0	-1.07451175869377	-0.796342263661534	-1.37462358219789	0.921815226264957	1.24424295191514	1.0794194263731
