gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_010054	Control	Vibrio	OK	96.4259	188.535	0.96734	2.35085	0.00095	0.0471756	yes
XLOC_010102	Control	Vibrio	OK	104.565	250.316	1.25936	3.41435	5e-05	0.00484762	yes
XLOC_010147	Control	Vibrio	OK	5.88346	28.1113	2.25641	2.82432	5e-05	0.00484762	yes
XLOC_010225	Control	Vibrio	OK	330.232	679.605	1.04122	3.5774	5e-05	0.00484762	yes
XLOC_010234	Control	Vibrio	OK	491.32	774.316	0.65626	2.16576	0.00025	0.0166885	yes
XLOC_010326	Control	Vibrio	OK	48.4049	13.4519	-1.84734	-2.68025	2e-04	0.0142877	yes
XLOC_010363	Control	Vibrio	OK	105.27	200.275	0.927896	2.47374	1e-04	0.0083102	yes
XLOC_010514	Control	Vibrio	OK	2.45601	12.5024	2.34782	2.4088	9e-04	0.0469846	yes
XLOC_010555	Control	Vibrio	OK	31.8935	4.74525	-2.74871	-3.31	5e-05	0.00484762	yes
XLOC_010627	Control	Vibrio	OK	18.0467	71.981	1.99588	2.98905	0.00015	0.0119765	yes
XLOC_010789	Control	Vibrio	OK	14.2316	2.25525	-2.65774	-2.5669	9e-04	0.0469846	yes
