Control_1	Control_2	Control_3	Treat_1	Treat_2	Treat_3
comp30028_c0_seq1	-1.27118578773697	-1.10559218240654	-1.08685633973463	0.836897828242951	1.43529697296398	1.19143950867121
comp33855_c0_seq1	0.136462620152855	0.434378039001241	2.54254569472598	-0.54710656810113	-1.88950687716152	-0.676772908617426
comp25796_c0_seq1	-1.04867295635375	-1.10282872640066	-0.737523886670027	0.715984165458463	1.2082185178355	0.964822886130471
comp14588_c0_seq1	-0.815995362534093	-0.931114395960042	-1.57537549593694	0.835206028294644	1.34177146796498	1.14550775817146
comp5770_c0_seq1	-1.32459058125269	-1.03000189531465	-1.35357256638844	0.851056029983057	1.55019883560025	1.30691017737248
comp28990_c0_seq1	-1.1345313134964	-1.62919204723534	-1.07256606275187	0.830418195721632	1.59499862156701	1.41087260619497
comp20470_c0_seq1	-1.07276021119255	-1.08827529596492	-1.34194189787649	1.28735366876711	1.23396474141743	0.981658994849409
comp6511_c0_seq1	-0.955736056069256	-1.65265578916725	-0.805329747558535	0.601205114645964	1.38998645518116	1.42253002296792
comp15846_c0_seq1	0.436463081612966	1.79614359118882	0.709764090577789	-1.01899373276045	-1.79146906054986	-0.131907970069265
comp29014_c0_seq1	-1.07403462766797	-0.797449940108518	-1.37541562791273	0.922272521720773	1.24476040733991	1.07986726662854
comp31562_c0_seq1	-0.998895349845636	-1.37113313619121	-1.43868425824233	1.02727336687234	1.55303498110709	1.22840439629975
comp30779_c0_seq1	-1.02875641701277	-0.940485428374422	-1.05907909980246	0.583679683699016	1.38163240430813	1.0630088571825
comp31577_c0_seq1	-1.04000798292258	-1.83299270757057	-1.13830764410777	0.933165202144392	1.69451875682716	1.38362437562938
comp4247_c0_seq1	-0.934499428351736	-0.786761085866184	-1.07713371847879	0.679454673126059	1.19041989074978	0.928519668820867
comp11093_c0_seq1	-0.89052666478518	-1.23239131375522	-1.18057039853175	0.797267951544093	1.32941571866243	1.17680470686562
comp30505_c0_seq1	-0.898808188927324	-0.791834667204919	-1.1810755258461	0.68898195365211	1.24114265524135	0.941593773084876
comp26546_c0_seq1	-1.12683551517599	-0.753882397258827	-1.1234052372853	0.670825417011405	1.34531663537622	0.9879810973325
comp20944_c0_seq1	-1.40777983314861	-1.10465144538998	-0.762481669199975	0.897467648322638	1.32564714401478	1.05179815540115
comp30130_c0_seq1	-1.09300094672625	-1.32687415096142	-1.70439765049744	0.808674111541717	1.49675896847227	1.81883966817113
comp32780_c0_seq1	0.555961250680429	1.55920379395172	0.993079492692298	-1.164583552774	-1.98823320542352	0.0445722208730635
comp30363_c0_seq1	-0.815515591085417	-0.8983509939879	-1.5109765809489	0.749953930935283	1.18014260678437	1.29474662830256
comp31634_c0_seq1	0.290940047759516	1.75579724765725	1.90914490760893	-1.68013750925621	-2.05306686034709	-0.222677833422395
comp11731_c0_seq1	-1.45942893421718	-0.761833927716278	-0.929056319960364	0.740356502560104	1.37008673264851	1.03987594668521
